Date,Age Group,First Doses,No Dose
2021-04-07,0-20,2830,713901
2021-04-15,0-20,3959,712772
2021-04-21,0-20,5162,711569
2021-04-28,0-20,6204,710527
2021-05-05,0-20,7458,709273
2021-05-12,0-20,8734,707997
2021-05-19,0-20,9814,706917
2021-05-26,0-20,10805,705926
2021-06-02,0-20,11836,704895
2021-06-09,0-20,12707,704024
2021-06-16,0-20,13717,703014
2021-06-23,0-20,14898,701833
2021-06-30,0-20,16080,700651
2021-07-07,0-20,17293,699438
2021-07-14,0-20,18566,698165
2021-07-21,0-20,20352,696379
2021-07-28,0-20,23421,693310
2021-08-04,0-20,28429,688302
2021-08-11,0-20,33948,682783
2021-08-18,0-20,41468,675263
2021-08-25,0-20,110128,471329
2021-08-31,0-20,157616,423841
2021-09-07,0-20,238976,342481
2021-09-14,0-20,296362,285095
2021-09-21,0-20,337256,244201
2021-09-28,0-20,361763,219694
2021-10-05,0-20,383327,198130
2021-10-12,0-20,411219,170238
2021-10-19,0-20,437471,143986
2021-10-26,0-20,452323,129134
2021-11-03,0-20,467277,114180
2021-11-10,0-20,477326,104131
2021-11-17,0-20,487732,93725
2021-11-24,0-20,497466,83991
2021-12-01,0-20,508950,72507
2021-12-08,0-20,521009,60448
2021-12-15,0-20,527338,54119
2021-12-22,0-20,531953,49504
2021-12-29,0-20,533543,47914
2021-04-07,21-40,29642,1388137
2021-04-15,21-40,42123,1375656
2021-04-21,21-40,54364,1363415
2021-04-28,21-40,64772,1353007
2021-05-05,21-40,77463,1340316
2021-05-12,21-40,88924,1328855
2021-05-19,21-40,99197,1318582
2021-05-26,21-40,107067,1310712
2021-06-02,21-40,114649,1303130
2021-06-09,21-40,121584,1296195
2021-06-16,21-40,129074,1288705
2021-06-23,21-40,137487,1280292
2021-06-30,21-40,145839,1271940
2021-07-07,21-40,153273,1264506
2021-07-14,21-40,162559,1255220
2021-07-21,21-40,175213,1242566
2021-07-28,21-40,195150,1222629
2021-08-04,21-40,230247,1187532
2021-08-11,21-40,267486,1150293
2021-08-18,21-40,316141,1101638
2021-08-25,21-40,380053,1037726
2021-08-31,21-40,536865,880914
2021-09-07,21-40,681060,736719
2021-09-14,21-40,798502,619277
2021-09-21,21-40,893609,524170
2021-09-28,21-40,949846,467933
2021-10-05,21-40,993339,424440
2021-10-12,21-40,1048325,369454
2021-10-19,21-40,1100215,317564
2021-10-26,21-40,1131185,286594
2021-11-03,21-40,1161985,255794
2021-11-10,21-40,1181787,235992
2021-11-17,21-40,1203370,214409
2021-11-24,21-40,1221956,195823
2021-12-01,21-40,1245034,172745
2021-12-08,21-40,1266487,151292
2021-12-15,21-40,1277378,140401
2021-12-22,21-40,1283663,134116
2021-12-29,21-40,1286329,131450
2021-04-07,41-60,27424,1260139
2021-04-15,41-60,40736,1246827
2021-04-21,41-60,54294,1233269
2021-04-28,41-60,66366,1221197
2021-05-05,41-60,82478,1205085
2021-05-12,41-60,97255,1190308
2021-05-19,41-60,110926,1176637
2021-05-26,41-60,121412,1166151
2021-06-02,41-60,133377,1154186
2021-06-09,41-60,145167,1142396
2021-06-16,41-60,159072,1128491
2021-06-23,41-60,174044,1113519
2021-06-30,41-60,189388,1098175
2021-07-07,41-60,203714,1083849
2021-07-14,41-60,221356,1066207
2021-07-21,41-60,245506,1042057
2021-07-28,41-60,286487,1001076
2021-08-04,41-60,349621,937942
2021-08-11,41-60,425047,862516
2021-08-18,41-60,523419,764144
2021-08-25,41-60,602326,685237
2021-08-31,41-60,748045,539518
2021-09-07,41-60,861143,426420
2021-09-14,41-60,939850,347713
2021-09-21,41-60,996102,291461
2021-09-28,41-60,1025033,262530
2021-10-05,41-60,1046569,240994
2021-10-12,41-60,1073564,213999
2021-10-19,41-60,1099119,188444
2021-10-26,41-60,1112909,174654
2021-11-03,41-60,1127149,160414
2021-11-10,41-60,1136082,151481
2021-11-17,41-60,1146508,141055
2021-11-24,41-60,1152382,135181
2021-12-01,41-60,1162899,124664
