Date,Age,First Doses,No Dose
2022-01-05,12,241,68650
2022-01-05,13,62968,5268
2022-01-05,14,63176,5283
2022-01-05,15,62746,5240
2022-01-05,16,59709,5104
2022-01-05,17,58242,5026
2022-01-05,18,57884,5033
2022-01-05,19,57383,5030
2022-01-05,20,57397,4970
2022-01-05,21,58848,5472
2022-01-05,22,60410,5664
2022-01-05,23,59226,5553
2022-01-05,24,59370,5572
2022-01-05,25,61157,5697
2022-01-05,26,62718,5479
2022-01-05,27,64675,5644
2022-01-05,28,66118,5745
2022-01-05,29,68521,5943
2022-01-05,30,72147,6238
2022-01-05,31,71771,7988
2022-01-05,32,72738,8107
2022-01-05,33,70544,7848
2022-01-05,34,69593,7732
2022-01-05,35,67855,7600
2022-01-05,36,65403,6606
2022-01-05,37,63974,6459
2022-01-05,38,63187,6383
2022-01-05,39,61897,6276
2022-01-05,40,61730,6287
2022-01-05,41,59771,5588
2022-01-05,42,59533,5569
2022-01-05,43,58251,5454
2022-01-05,44,56609,5305
2022-01-05,45,55733,5238
2022-01-05,46,56657,4481
2022-01-05,47,57169,4526
2022-01-05,48,59109,4694
2022-01-05,49,60235,4788
2022-01-05,50,62973,5040
2022-01-05,51,62630,6022
2022-01-05,52,61578,5935
2022-01-05,53,60571,5833
2022-01-05,54,60120,5796
2022-01-05,55,57973,5597
2022-01-05,56,57621,4852
2022-01-05,57,57869,4878
2022-01-05,58,59140,4982
2022-01-05,59,60199,5077
2022-01-05,60,60259,5091
2022-01-05,61,58384,5191
2022-01-05,62,56785,5040
2022-01-05,63,54276,4819
2022-01-05,64,52897,4687
2022-01-05,65,51507,4585
2022-01-05,66,50063,4165
2022-01-05,67,48156,4012
2022-01-05,68,46703,3890
2022-01-05,69,44420,3690
2022-01-05,70,43588,3638
2022-01-05,71,42079,2933
2022-01-05,72,41594,2897
2022-01-05,73,40045,2787
2022-01-05,74,39252,2731
2022-01-05,75,38764,2703
2022-01-05,76,33746,3391
2022-01-05,77,29434,2958
2022-01-05,78,26826,2692
2022-01-05,79,23574,2370
2022-01-05,80,23406,2352
