Date,Age,Ever Vaccinated,Never Vaccinated
2023-01-11,0,0,56955
2023-01-11,1,95,58686
2023-01-11,2,715,58431
2023-01-11,3,1348,57227
2023-01-11,4,2070,59800
2023-01-11,5,1968,59987
2023-01-11,6,2150,62406
2023-01-11,7,1975,64038
2023-01-11,8,1770,64011
2023-01-11,9,1834,64762
2023-01-11,10,1762,65306
2023-01-11,11,1684,68212
2023-01-11,12,4778,64160
2023-01-11,13,809,69627
2023-01-11,14,59297,10440
2023-01-11,15,59219,10641
2023-01-11,16,59536,10118
2023-01-11,17,63244,2924
2023-01-11,18,58890,5124
2023-01-11,19,60805,2883
2023-01-11,20,61097,2877
2023-01-11,21,59544,4498
2023-01-11,22,60282,5414
2023-01-11,23,60155,7600
2023-01-11,24,60604,6347
2023-01-11,25,60993,6616
2023-01-11,26,61200,8644
2023-01-11,27,68253,3346
2023-01-11,28,68809,5346
2023-01-11,29,69480,6550
2023-01-11,30,70163,8775
2023-01-11,31,74227,9325
2023-01-11,32,76934,7526
2023-01-11,33,76464,8654
2023-01-11,34,76619,6166
2023-01-11,35,76720,4965
2023-01-11,36,76418,3159
2023-01-11,37,69243,6737
2023-01-11,38,68797,5171
2023-01-11,39,68528,4388
2023-01-11,40,68084,3220
2023-01-11,41,67179,3764
2023-01-11,42,62069,5858
2023-01-11,43,61793,5647
2023-01-11,44,61492,4343
2023-01-11,45,60867,2927
2023-01-11,46,57015,5525
2023-01-11,47,58349,4030
2023-01-11,48,58080,4608
2023-01-11,49,57671,6863
2023-01-11,50,57632,8021
2023-01-11,51,59806,8653
2023-01-11,52,61260,7739
2023-01-11,53,60979,6774
2023-01-11,54,60958,5636
2023-01-11,55,60912,5175
2023-01-11,56,58717,4883
2023-01-11,57,57326,5112
2023-01-11,58,57378,5478
2023-01-11,59,57360,6813
2023-01-11,60,57485,7881
2023-01-11,61,60105,5432
2023-01-11,62,56292,7340
2023-01-11,63,56416,5518
2023-01-11,64,56231,2899
2023-01-11,65,56210,1409
2023-01-11,66,55782,299
2023-01-11,67,47707,6467
2023-01-11,68,47398,4577
2023-01-11,69,47302,3024
2023-01-11,70,47118,658
2023-01-11,71,45880,975
2023-01-11,72,40492,4059
2023-01-11,73,40379,3582
2023-01-11,74,40218,1998
2023-01-11,75,40307,971
2023-01-11,76,42404,-1808
2023-01-11,77,29912,6347
2023-01-11,78,29780,1788
2023-01-11,79,29525,-961
2023-01-11,80,29004,-4038
2023-01-11,81,27579,-2783
2023-01-11,82,19223,4934
2023-01-11,83,18874,3001
2023-01-11,84,18599,-44
2023-01-11,85,18343,-2118
2023-01-11,86,17137,-2923
2023-01-11,87,9296,2873
2023-01-11,88,9015,1032
2023-01-11,89,8852,422
2023-01-11,90,33430,-1463
2023-02-01,0,0,56955
2023-02-01,1,95,58686
2023-02-01,2,715,58431
2023-02-01,3,1348,57227
2023-02-01,4,2070,59800
2023-02-01,5,1658,60297
2023-02-01,6,1840,62716
2023-02-01,7,1665,64348
2023-02-01,8,1460,64321
2023-02-01,9,1524,65072
2023-02-01,10,1452,65616
2023-02-01,11,1377,68519
2023-02-01,12,4650,64288
2023-02-01,13,681,69755
2023-02-01,14,59169,10568
2023-02-01,15,59091,10769
2023-02-01,16,59408,10246
2023-02-01,17,63112,3056
2023-02-01,18,58885,5129
2023-02-01,19,60800,2888
2023-02-01,20,61092,2882
2023-02-01,21,59539,4503
2023-02-01,22,60277,5419
2023-02-01,23,60150,7605
2023-02-01,24,60595,6356
2023-02-01,25,60859,6750
2023-02-01,26,61066,8778
2023-02-01,27,68119,3480
2023-02-01,28,68675,5480
2023-02-01,29,69342,6688
2023-02-01,30,70215,8723
2023-02-01,31,74279,9273
2023-02-01,32,76986,7474
2023-02-01,33,76516,8602
2023-02-01,34,76672,6113
2023-02-01,35,76828,4857
2023-02-01,36,76526,3051
2023-02-01,37,69351,6629
2023-02-01,38,68905,5063
2023-02-01,39,68636,4280
2023-02-01,40,68178,3126
2023-02-01,41,67273,3670
2023-02-01,42,62163,5764
2023-02-01,43,61887,5553
2023-02-01,44,61586,4249
2023-02-01,45,60828,2966
2023-02-01,46,56976,5564
2023-02-01,47,58310,4069
2023-02-01,48,58041,4647
2023-02-01,49,57634,6900
2023-02-01,50,57648,8005
2023-02-01,51,59822,8637
2023-02-01,52,61276,7723
2023-02-01,53,60995,6758
2023-02-01,54,60972,5622
2023-02-01,55,60860,5227
2023-02-01,56,58665,4935
2023-02-01,57,57274,5164
2023-02-01,58,57326,5530
2023-02-01,59,57309,6864
2023-02-01,60,57590,7776
2023-02-01,61,60210,5327
2023-02-01,62,56397,7235
2023-02-01,63,56521,5413
2023-02-01,64,56339,2791
2023-02-01,65,56288,1331
2023-02-01,66,55860,221
2023-02-01,67,47785,6389
2023-02-01,68,47476,4499
2023-02-01,69,47380,2946
2023-02-01,70,47153,623
2023-02-01,71,45915,940
2023-02-01,72,40527,4024
2023-02-01,73,40414,3547
2023-02-01,74,40254,1962
2023-02-01,75,40470,808
2023-02-01,76,42567,-1971
2023-02-01,77,30075,6184
2023-02-01,78,29943,1625
2023-02-01,79,29691,-1127
2023-02-01,80,29009,-4043
2023-02-01,81,27584,-2788
2023-02-01,82,19228,4929
2023-02-01,83,18879,2996
2023-02-01,84,18603,-48
2023-02-01,85,18369,-2144
2023-02-01,86,17163,-2949
2023-02-01,87,9322,2847
2023-02-01,88,9041,1006
2023-02-01,89,8874,400
2023-02-01,90,33487,-1520
2023-03-01,0,0,56955
2023-03-01,1,95,58686
2023-03-01,2,715,58431
2023-03-01,3,1348,57227
2023-03-01,4,2070,59800
2023-03-01,5,1209,60746
2023-03-01,6,1391,63165
2023-03-01,7,1216,64797
2023-03-01,8,1011,64770
2023-03-01,9,1075,65521
2023-03-01,10,1003,66065
2023-03-01,11,929,68967
2023-03-01,12,4451,64487
2023-03-01,13,482,69954
2023-03-01,14,58970,10767
2023-03-01,15,58892,10968
2023-03-01,16,59209,10445
2023-03-01,17,62913,3255
2023-03-01,18,58908,5106
2023-03-01,19,60823,2865
2023-03-01,20,61115,2859
2023-03-01,21,59562,4480
2023-03-01,22,60300,5396
2023-03-01,23,60173,7582
2023-03-01,24,60621,6330
2023-03-01,25,60757,6852
2023-03-01,26,60964,8880
2023-03-01,27,68017,3582
2023-03-01,28,68573,5582
2023-03-01,29,69244,6786
2023-03-01,30,70199,8739
2023-03-01,31,74263,9289
2023-03-01,32,76970,7490
2023-03-01,33,76500,8618
2023-03-01,34,76656,6129
2023-03-01,35,76998,4687
2023-03-01,36,76696,2881
2023-03-01,37,69521,6459
2023-03-01,38,69075,4893
2023-03-01,39,68809,4107
2023-03-01,40,68243,3061
2023-03-01,41,67338,3605
2023-03-01,42,62228,5699
2023-03-01,43,61952,5488
2023-03-01,44,61653,4182
2023-03-01,45,60797,2997
2023-03-01,46,56945,5595
2023-03-01,47,58279,4100
2023-03-01,48,58010,4678
2023-03-01,49,57600,6934
2023-03-01,50,57637,8016
2023-03-01,51,59811,8648
2023-03-01,52,61265,7734
2023-03-01,53,60984,6769
2023-03-01,54,60960,5634
2023-03-01,55,60866,5221
2023-03-01,56,58671,4929
2023-03-01,57,57280,5158
2023-03-01,58,57332,5524
2023-03-01,59,57316,6857
2023-03-01,60,57737,7629
2023-03-01,61,60357,5180
2023-03-01,62,56544,7088
2023-03-01,63,56668,5266
2023-03-01,64,56487,2643
2023-03-01,65,56400,1219
2023-03-01,66,55972,109
2023-03-01,67,47897,6277
2023-03-01,68,47588,4387
2023-03-01,69,47492,2834
2023-03-01,70,47166,610
2023-03-01,71,45928,927
2023-03-01,72,40540,4011
2023-03-01,73,40427,3534
2023-03-01,74,40263,1953
2023-03-01,75,40710,568
2023-03-01,76,42807,-2211
2023-03-01,77,30315,5944
2023-03-01,78,30183,1385
2023-03-01,79,29928,-1364
2023-03-01,80,29022,-4056
2023-03-01,81,27597,-2801
2023-03-01,82,19241,4916
2023-03-01,83,18892,2983
2023-03-01,84,18616,-61
2023-03-01,85,18414,-2189
2023-03-01,86,17208,-2994
2023-03-01,87,9367,2802
2023-03-01,88,9086,961
2023-03-01,89,8921,353
2023-03-01,90,33579,-1612
2023-04-05,0,0,56955
2023-04-05,1,95,58686
2023-04-05,2,715,58431
2023-04-05,3,1348,57227
2023-04-05,4,2070,59800
2023-04-05,5,667,61288
2023-04-05,6,849,63707
2023-04-05,7,674,65339
2023-04-05,8,469,65312
2023-04-05,9,533,66063
2023-04-05,10,461,66607
2023-04-05,11,383,69513
2023-04-05,12,4203,64735
2023-04-05,13,234,70202
2023-04-05,14,58722,11015
2023-04-05,15,58644,11216
2023-04-05,16,58961,10693
2023-04-05,17,62667,3501
2023-04-05,18,58878,5136
2023-04-05,19,60793,2895
2023-04-05,20,61085,2889
2023-04-05,21,59532,4510
2023-04-05,22,60270,5426
2023-04-05,23,60143,7612
2023-04-05,24,60591,6360
2023-04-05,25,60653,6956
2023-04-05,26,60860,8984
2023-04-05,27,67913,3686
2023-04-05,28,68469,5686
2023-04-05,29,69136,6894
2023-04-05,30,70212,8726
2023-04-05,31,74276,9276
2023-04-05,32,76983,7477
2023-04-05,33,76513,8605
2023-04-05,34,76670,6115
2023-04-05,35,77141,4544
2023-04-05,36,76839,2738
2023-04-05,37,69664,6316
2023-04-05,38,69218,4750
2023-04-05,39,68950,3966
2023-04-05,40,68376,2928
2023-04-05,41,67471,3472
2023-04-05,42,62361,5566
2023-04-05,43,62085,5355
2023-04-05,44,61787,4048
2023-04-05,45,60666,3128
2023-04-05,46,56814,5726
2023-04-05,47,58148,4231
2023-04-05,48,57879,4809
2023-04-05,49,57469,7065
2023-04-05,50,57695,7958
2023-04-05,51,59869,8590
2023-04-05,52,61323,7676
2023-04-05,53,61042,6711
2023-04-05,54,61022,5572
2023-04-05,55,60806,5281
2023-04-05,56,58611,4989
2023-04-05,57,57220,5218
2023-04-05,58,57272,5584
2023-04-05,59,57256,6917
2023-04-05,60,57884,7482
2023-04-05,61,60504,5033
2023-04-05,62,56691,6941
2023-04-05,63,56815,5119
2023-04-05,64,56632,2498
2023-04-05,65,56550,1069
2023-04-05,66,56122,-41
2023-04-05,67,48047,6127
2023-04-05,68,47738,4237
2023-04-05,69,47646,2680
2023-04-05,70,47211,565
2023-04-05,71,45973,882
2023-04-05,72,40585,3966
2023-04-05,73,40472,3489
2023-04-05,74,40312,1904
2023-04-05,75,40943,335
2023-04-05,76,43040,-2444
2023-04-05,77,30548,5711
2023-04-05,78,30416,1152
2023-04-05,79,30164,-1600
2023-04-05,80,29056,-4090
2023-04-05,81,27631,-2835
2023-04-05,82,19275,4882
2023-04-05,83,18926,2949
2023-04-05,84,18652,-97
2023-04-05,85,18463,-2238
2023-04-05,86,17257,-3043
2023-04-05,87,9416,2753
2023-04-05,88,9135,912
2023-04-05,89,8972,302
2023-04-05,90,33649,-1682
2023-05-03,0,0,56955
2023-05-03,1,95,58686
2023-05-03,2,715,58431
2023-05-03,3,1348,57227
2023-05-03,4,2070,59800
2023-05-03,5,269,61686
2023-05-03,6,451,64105
2023-05-03,7,276,65737
2023-05-03,8,71,65710
2023-05-03,9,135,66461
2023-05-03,10,63,67005
2023-05-03,11,-12,69908
2023-05-03,12,4019,64919
2023-05-03,13,50,70386
2023-05-03,14,58538,11199
2023-05-03,15,58460,11400
2023-05-03,16,58777,10877
2023-05-03,17,62480,3688
2023-05-03,18,58865,5149
2023-05-03,19,60780,2908
2023-05-03,20,61072,2902
2023-05-03,21,59519,4523
2023-05-03,22,60257,5439
2023-05-03,23,60130,7625
2023-05-03,24,60576,6375
2023-05-03,25,60580,7029
2023-05-03,26,60787,9057
2023-05-03,27,67840,3759
2023-05-03,28,68396,5759
2023-05-03,29,69064,6966
2023-05-03,30,70222,8716
2023-05-03,31,74286,9266
2023-05-03,32,76993,7467
2023-05-03,33,76523,8595
2023-05-03,34,76679,6106
2023-05-03,35,77267,4418
2023-05-03,36,76965,2612
2023-05-03,37,69790,6190
2023-05-03,38,69344,4624
2023-05-03,39,69077,3839
2023-05-03,40,68514,2790
2023-05-03,41,67609,3334
2023-05-03,42,62499,5428
2023-05-03,43,62223,5217
2023-05-03,44,61924,3911
2023-05-03,45,60601,3193
2023-05-03,46,56749,5791
2023-05-03,47,58083,4296
2023-05-03,48,57814,4874
2023-05-03,49,57405,7129
2023-05-03,50,57719,7934
2023-05-03,51,59893,8566
2023-05-03,52,61347,7652
2023-05-03,53,61066,6687
2023-05-03,54,61042,5552
2023-05-03,55,60822,5265
2023-05-03,56,58627,4973
2023-05-03,57,57236,5202
2023-05-03,58,57288,5568
2023-05-03,59,57273,6900
2023-05-03,60,57989,7377
2023-05-03,61,60609,4928
2023-05-03,62,56796,6836
2023-05-03,63,56920,5014
2023-05-03,64,56735,2395
2023-05-03,65,56680,939
2023-05-03,66,56252,-171
2023-05-03,67,48177,5997
2023-05-03,68,47868,4107
2023-05-03,69,47772,2554
2023-05-03,70,47263,513
2023-05-03,71,46025,830
2023-05-03,72,40637,3914
2023-05-03,73,40524,3437
2023-05-03,74,40362,1854
2023-05-03,75,41137,141
2023-05-03,76,43234,-2638
2023-05-03,77,30742,5517
2023-05-03,78,30610,958
2023-05-03,79,30356,-1792
2023-05-03,80,29075,-4109
2023-05-03,81,27650,-2854
2023-05-03,82,19294,4863
2023-05-03,83,18945,2930
2023-05-03,84,18669,-114
2023-05-03,85,18488,-2263
2023-05-03,86,17282,-3068
2023-05-03,87,9441,2728
2023-05-03,88,9160,887
2023-05-03,89,8996,278
2023-05-03,90,33768,-1801
