Date,Age Group,Ever Vaccinated,Never Vaccinated
2023-01-11,0-20,445046,918615
2023-02-01,0-20,442092,921569
2023-03-01,0-20,437825,925836
2023-04-05,0-20,432451,931210
2023-05-03,0-20,428522,935139
2023-01-11,21-40,1371517,122447
2023-02-01,21-40,1371714,122250
2023-03-01,21-40,1372141,121823
2023-04-05,21-40,1372409,121555
2023-05-03,21-40,1372809,121155
2023-01-11,41-60,1194328,115730
2023-02-01,41-60,1194435,115623
2023-03-01,41-60,1194661,115397
2023-04-05,41-60,1194680,115378
2023-05-03,41-60,1195209,114849
2023-01-11,61-80,898462,50536
2023-02-01,61-80,900274,48724
2023-03-01,61-80,902694,46304
2023-04-05,61-80,905465,43533
2023-05-03,61-80,907774,41224
2023-01-11,81+,180348,2931
2023-02-01,81+,180550,2729
2023-03-01,81+,180921,2358
2023-04-05,81+,181376,1903
2023-05-03,81+,181693,1586
