year,month,age_group,age_groups_src,population,deaths
2010,1,1,00_00,64060,21
2010,1,2,01_04,252770,6
2010,1,3,05_09,290340,3
2010,1,4,10_14,302920,3
2010,1,5,15_19,315840,21
2010,1,6,20_24,304780,18
2010,1,7,25_29,276660,15
2010,1,8,30_34,268610,15
2010,1,9,35_39,299880,24
2010,1,10,40_44,315500,30
2010,1,11,45_49,322910,54
2010,1,12,50_54,296780,75
2010,1,13,55_59,255410,102
2010,1,14,60_64,235430,126
2010,1,15,65_69,177810,168
2010,1,16,70_74,140240,198
2010,1,17,75_79,103980,267
2010,1,18,80_84,80430,363
2010,1,19,85_89,47020,375
2010,1,20,95_,22520,339
2010,2,1,00_00,64060,30
2010,2,2,01_04,252770,3
2010,2,4,10_14,302920,6
2010,2,5,15_19,315840,9
2010,2,6,20_24,304780,15
2010,2,7,25_29,276660,9
2010,2,8,30_34,268610,15
2010,2,9,35_39,299880,21
2010,2,10,40_44,315500,36
2010,2,11,45_49,322910,42
2010,2,12,50_54,296780,57
2010,2,13,55_59,255410,84
2010,2,14,60_64,235430,105
2010,2,15,65_69,177810,147
2010,2,16,70_74,140240,186
2010,2,17,75_79,103980,249
2010,2,18,80_84,80430,321
2010,2,19,85_89,47020,354
2010,2,20,95_,22520,267
2010,3,1,00_00,64060,30
2010,3,2,01_04,252770,9
2010,3,3,05_09,290340,3
2010,3,4,10_14,302920,3
2010,3,5,15_19,315840,21
2010,3,6,20_24,304780,9
2010,3,7,25_29,276660,21
2010,3,8,30_34,268610,18
2010,3,9,35_39,299880,24
2010,3,10,40_44,315500,42
2010,3,11,45_49,322910,66
2010,3,12,50_54,296780,69
2010,3,13,55_59,255410,105
2010,3,14,60_64,235430,141
2010,3,15,65_69,177810,189
2010,3,16,70_74,140240,216
2010,3,17,75_79,103980,279
2010,3,18,80_84,80430,402
2010,3,19,85_89,47020,384
2010,3,20,95_,22520,342
2010,4,1,00_00,64060,30
2010,4,2,01_04,252770,6
2010,4,3,05_09,290340,3
2010,4,4,10_14,302920,3
2010,4,5,15_19,315840,12
2010,4,6,20_24,304780,21
2010,4,7,25_29,276660,9
2010,4,8,30_34,268610,12
2010,4,9,35_39,299880,33
2010,4,10,40_44,315500,36
2010,4,11,45_49,322910,54
2010,4,12,50_54,296780,69
2010,4,13,55_59,255410,96
2010,4,14,60_64,235430,147
2010,4,15,65_69,177810,153
2010,4,16,70_74,140240,204
2010,4,17,75_79,103980,282
2010,4,18,80_84,80430,378
2010,4,19,85_89,47020,396
2010,4,20,95_,22520,351
2010,5,1,00_00,64060,24
2010,5,2,01_04,252770,3
2010,5,5,15_19,315840,18
2010,5,6,20_24,304780,21
2010,5,7,25_29,276660,12
2010,5,8,30_34,268610,18
2010,5,9,35_39,299880,27
2010,5,10,40_44,315500,33
2010,5,11,45_49,322910,57
2010,5,12,50_54,296780,72
2010,5,13,55_59,255410,93
2010,5,14,60_64,235430,135
2010,5,15,65_69,177810,165
2010,5,16,70_74,140240,204
2010,5,17,75_79,103980,279
2010,5,18,80_84,80430,384
2010,5,19,85_89,47020,378
2010,5,20,95_,22520,351
2010,6,1,00_00,64060,21
2010,6,2,01_04,252770,9
2010,6,3,05_09,290340,3
2010,6,4,10_14,302920,3
2010,6,5,15_19,315840,9
2010,6,6,20_24,304780,15
2010,6,7,25_29,276660,18
2010,6,8,30_34,268610,15
2010,6,9,35_39,299880,24
2010,6,10,40_44,315500,39
2010,6,11,45_49,322910,60
2010,6,12,50_54,296780,66
2010,6,13,55_59,255410,93
2010,6,14,60_64,235430,138
2010,6,15,65_69,177810,189
2010,6,16,70_74,140240,234
2010,6,17,75_79,103980,288
2010,6,18,80_84,80430,420
2010,6,19,85_89,47020,438
2010,6,20,95_,22520,444
2010,7,1,00_00,64060,36
2010,7,2,01_04,252770,3
2010,7,4,10_14,302920,3
2010,7,5,15_19,315840,9
2010,7,6,20_24,304780,9
2010,7,7,25_29,276660,15
2010,7,8,30_34,268610,12
2010,7,9,35_39,299880,21
2010,7,10,40_44,315500,48
2010,7,11,45_49,322910,60
2010,7,12,50_54,296780,90
2010,7,13,55_59,255410,123
2010,7,14,60_64,235430,126
2010,7,15,65_69,177810,192
2010,7,16,70_74,140240,213
2010,7,17,75_79,103980,318
2010,7,18,80_84,80430,450
2010,7,19,85_89,47020,477
2010,7,20,95_,22520,477
2010,8,1,00_00,64060,24
2010,8,2,01_04,252770,9
2010,8,4,10_14,302920,6
2010,8,5,15_19,315840,21
2010,8,6,20_24,304780,18
2010,8,7,25_29,276660,15
2010,8,8,30_34,268610,21
2010,8,9,35_39,299880,24
2010,8,10,40_44,315500,42
2010,8,11,45_49,322910,57
2010,8,12,50_54,296780,99
2010,8,13,55_59,255410,102
2010,8,14,60_64,235430,147
2010,8,15,65_69,177810,180
2010,8,16,70_74,140240,231
2010,8,17,75_79,103980,285
2010,8,18,80_84,80430,453
2010,8,19,85_89,47020,477
2010,8,20,95_,22520,453
2010,9,1,00_00,64060,27
2010,9,2,01_04,252770,9
2010,9,5,15_19,315840,12
2010,9,6,20_24,304780,21
2010,9,7,25_29,276660,15
2010,9,8,30_34,268610,18
2010,9,9,35_39,299880,27
2010,9,10,40_44,315500,33
2010,9,11,45_49,322910,72
2010,9,12,50_54,296780,78
2010,9,13,55_59,255410,111
2010,9,14,60_64,235430,177
2010,9,15,65_69,177810,177
2010,9,16,70_74,140240,225
2010,9,17,75_79,103980,312
2010,9,18,80_84,80430,447
2010,9,19,85_89,47020,456
2010,9,20,95_,22520,417
2010,10,1,00_00,64060,24
2010,10,2,01_04,252770,6
2010,10,4,10_14,302920,3
2010,10,5,15_19,315840,15
2010,10,6,20_24,304780,15
2010,10,7,25_29,276660,18
2010,10,8,30_34,268610,9
2010,10,9,35_39,299880,21
2010,10,10,40_44,315500,30
2010,10,11,45_49,322910,45
2010,10,12,50_54,296780,66
2010,10,13,55_59,255410,90
2010,10,14,60_64,235430,138
2010,10,15,65_69,177810,165
2010,10,16,70_74,140240,234
2010,10,17,75_79,103980,252
2010,10,18,80_84,80430,381
2010,10,19,85_89,47020,405
2010,10,20,95_,22520,375
2010,11,1,00_00,64060,33
2010,11,2,01_04,252770,3
2010,11,3,05_09,290340,3
2010,11,4,10_14,302920,12
2010,11,5,15_19,315840,15
2010,11,6,20_24,304780,18
2010,11,7,25_29,276660,12
2010,11,8,30_34,268610,15
2010,11,9,35_39,299880,21
