year_month,closest_dose_date,age_group,had_first_dose,had_no_dose
2021-04,2021-04-15,0-20,3954,711496
2021-04,2021-04-15,21-40,42182,1377258
2021-04,2021-04-15,41-60,40759,1245651
2021-04,2021-04-15,61-80,17612,875778
2021-04,2021-04-15,81+,931,171709
2021-05,2021-05-12,0-20,8707,706743
2021-05,2021-05-12,21-40,88909,1330531
2021-05,2021-05-12,41-60,97234,1189176
2021-05,2021-05-12,61-80,62816,830574
2021-05,2021-05-12,81+,11127,161513
2021-06,2021-06-16,0-20,13681,701769
2021-06,2021-06-16,21-40,129103,1290337
2021-06,2021-06-16,41-60,159061,1127349
2021-06,2021-06-16,61-80,210598,682792
2021-06,2021-06-16,81+,54684,117956
2021-07,2021-07-14,0-20,18589,696861
2021-07,2021-07-14,21-40,162626,1256814
2021-07,2021-07-14,41-60,221302,1065108
2021-07,2021-07-14,61-80,349558,543832
2021-07,2021-07-14,81+,87518,85122
2021-08,2021-08-18,0-20,41441,674009
2021-08,2021-08-18,21-40,316251,1103189
2021-08,2021-08-18,41-60,523240,763170
2021-08,2021-08-18,61-80,641565,251825
2021-08,2021-08-18,81+,133054,39586
2021-09,2021-09-14,0-20,296310,283910
2021-09,2021-09-14,21-40,798709,620731
2021-09,2021-09-14,41-60,939658,346752
2021-09,2021-09-14,61-80,753064,140326
2021-09,2021-09-14,81+,146009,26631
2021-10,2021-10-12,0-20,411128,169092
2021-10,2021-10-12,21-40,1048551,370889
2021-10,2021-10-12,41-60,1073274,213136
2021-10,2021-10-12,61-80,791882,101508
2021-10,2021-10-12,81+,152386,20254
2021-11,2021-11-17,0-20,487652,92568
2021-11,2021-11-17,21-40,1203600,215840
2021-11,2021-11-17,41-60,1146226,140184
2021-11,2021-11-17,61-80,814803,78587
2021-11,2021-11-17,81+,156079,16561
2021-12,2021-12-15,0-20,527253,52967
2021-12,2021-12-15,21-40,1277600,141840
2021-12,2021-12-15,41-60,1176673,109737
2021-12,2021-12-15,61-80,822804,70586
2021-12,2021-12-15,81+,157262,15378
2022-01,2022-01-12,0-20,537729,50431
2022-01,2022-01-12,21-40,1299131,132789
2022-01,2022-01-12,41-60,1185244,101626
2022-01,2022-01-12,61-80,824542,90888
2022-01,2022-01-12,81+,159375,19635
2022-02,2022-02-16,0-20,539582,48578
