Date,Age Group,First Doses,Population,% With First Doses
2021-04-07,10-19,1438,651630,0.22
2021-04-07,20-29,14951,688800,2.17
2021-04-07,30-39,14750,729690,2.02
2021-04-07,40-49,12866,632730,2.03
2021-04-07,50-59,14786,654480,2.26
2021-04-07,60-69,9403,555730,1.69
2021-04-07,70-79,2328,375170,0.62
2021-04-07,80+,491,199100,0.25
2021-04-15,10-19,2005,651630,0.31
2021-04-15,20-29,20846,688800,3.03
2021-04-15,30-39,21300,729690,2.92
2021-04-15,40-49,18906,632730,2.99
2021-04-15,50-59,22082,654480,3.37
2021-04-15,60-69,14932,555730,2.69
2021-04-15,70-79,4244,375170,1.13
2021-04-15,80+,1076,199100,0.54
2021-04-21,10-19,2658,651630,0.41
2021-04-21,20-29,26724,688800,3.88
2021-04-21,30-39,27617,729690,3.78
2021-04-21,40-49,24776,632730,3.92
2021-04-21,50-59,29656,654480,4.53
2021-04-21,60-69,20824,555730,3.75
2021-04-21,70-79,6269,375170,1.67
2021-04-21,80-89,1639,164300,1
2021-04-21,90+,417,34800,1.2
2021-04-28,10-19,3295,651630,0.51
2021-04-28,20-29,31601,688800,4.59
2021-04-28,30-39,33035,729690,4.53
2021-04-28,40-49,29796,632730,4.71
2021-04-28,50-59,36590,654480,5.59
2021-04-28,60-69,26372,555730,4.75
2021-04-28,70-79,8274,375170,2.21
2021-04-28,80-89,2709,164300,1.65
2021-04-28,90+,892,34800,2.56
2021-05-05,10-19,3991,651630,0.61
2021-05-05,20-29,37412,688800,5.43
2021-05-05,30-39,39827,729690,5.46
2021-05-05,40-49,36307,632730,5.74
2021-05-05,50-59,45898,654480,7.01
2021-05-05,60-69,34633,555730,6.23
2021-05-05,70-79,12479,375170,3.33
2021-05-05,80-89,5104,164300,3.11
2021-05-05,90+,1952,34800,5.61
2021-05-12,10-19,4772,651630,0.73
2021-05-12,20-29,42663,688800,6.19
2021-05-12,30-39,45905,729690,6.29
2021-05-12,40-49,42252,632730,6.68
2021-05-12,50-59,54113,654480,8.27
2021-05-12,60-69,44891,555730,8.08
2021-05-12,70-79,21562,375170,5.75
2021-05-12,80-89,9357,164300,5.7
2021-05-12,90+,3272,34800,9.4
2021-05-19,10-19,5391,651630,0.83
2021-05-19,20-29,47267,688800,6.86
2021-05-19,30-39,51408,729690,7.05
2021-05-19,40-49,47645,632730,7.53
2021-05-19,50-59,61715,654480,9.43
2021-05-19,60-69,55670,555730,10.02
2021-05-19,70-79,32774,375170,8.74
2021-05-19,80-89,14739,164300,8.97
2021-05-19,90+,4893,34800,14.06
2021-05-26,10-19,6076,651630,0.93
2021-05-26,20-29,50934,688800,7.39
2021-05-26,30-39,55618,729690,7.62
2021-05-26,40-49,51626,632730,8.16
2021-05-26,50-59,67508,654480,10.31
2021-05-26,60-69,65552,555730,11.8
2021-05-26,70-79,45270,375170,12.07
2021-05-26,80-89,21656,164300,13.18
2021-05-26,90+,6803,34800,19.55
2021-06-02,10-19,6792,651630,1.04
2021-06-02,20-29,54289,688800,7.88
2021-06-02,30-39,59681,729690,8.18
2021-06-02,40-49,55904,632730,8.84
2021-06-02,50-59,74022,654480,11.31
2021-06-02,60-69,78999,555730,14.22
2021-06-02,70-79,63722,375170,16.98
2021-06-02,80-89,30121,164300,18.33
2021-06-02,90+,8979,34800,25.8
2021-06-09,10-19,7402,651630,1.14
2021-06-09,20-29,57318,688800,8.32
2021-06-09,30-39,63498,729690,8.7
2021-06-09,40-49,59883,632730,9.46
2021-06-09,50-59,80501,654480,12.3
2021-06-09,60-69,94493,555730,17
2021-06-09,70-79,84710,375170,22.58
2021-06-09,80-89,39499,164300,24.04
2021-06-09,90+,11366,34800,32.66
2021-06-16,10-19,8099,651630,1.24
2021-06-16,20-29,60502,688800,8.78
2021-06-16,30-39,67650,729690,9.27
2021-06-16,40-49,64370,632730,10.17
2021-06-16,50-59,88527,654480,13.53
2021-06-16,60-69,110767,555730,19.93
2021-06-16,70-79,104716,375170,27.91
2021-06-16,80-89,48938,164300,29.79
2021-06-16,90+,13619,34800,39.14
2021-06-23,10-19,8927,651630,1.37
2021-06-23,20-29,64069,688800,9.3
2021-06-23,30-39,72283,729690,9.91
2021-06-23,40-49,69298,632730,10.95
2021-06-23,50-59,97042,654480,14.83
2021-06-23,60-69,128328,555730,23.09
2021-06-23,70-79,124920,375170,33.3
2021-06-23,80-89,57625,164300,35.07
2021-06-23,90+,15355,34800,44.12
2021-06-30,10-19,9824,651630,1.51
2021-06-30,20-29,67653,688800,9.82
2021-06-30,30-39,76903,729690,10.54
2021-06-30,40-49,74282,632730,11.74
2021-06-30,50-59,105937,654480,16.19
2021-06-30,60-69,145283,555730,26.14
2021-06-30,70-79,142652,375170,38.02
2021-06-30,80-89,65794,164300,40.05
2021-06-30,90+,16734,34800,48.09
2021-07-07,10-19,10687,651630,1.64
2021-07-07,20-29,70836,688800,10.28
2021-07-07,30-39,80939,729690,11.09
2021-07-07,40-49,79128,632730,12.51
2021-07-07,50-59,114055,654480,17.43
2021-07-07,60-69,161611,555730,29.08
2021-07-07,70-79,159275,375170,42.45
2021-07-07,80-89,74255,164300,45.19
2021-07-07,90+,18081,34800,51.96
2021-07-14,10-19,11640,651630,1.79
2021-07-14,20-29,74737,688800,10.85
2021-07-14,30-39,86092,729690,11.8
2021-07-14,40-49,85100,632730,13.45
2021-07-14,50-59,124259,654480,18.99
2021-07-14,60-69,179180,555730,32.24
2021-07-14,70-79,177920,375170,47.42
2021-07-14,80-89,81396,164300,49.54
2021-07-14,90+,19229,34800,55.26
2021-07-21,10-19,12924,651630,1.98
2021-07-21,20-29,79859,688800,11.59
2021-07-21,30-39,93170,729690,12.77
2021-07-21,40-49,93912,632730,14.84
