Year,Month,Year Month,Age Group,Reference Doses Date,Ever Vaccinated,Never Vaccinated,Deaths ever vaccinated,Deaths never vaccinated,Deaths per 10000 ever vaccinated,Deaths per 10000 never vaccinated
2021,04,2021-04,0-20,2021-04-15,1209,1338512,0,93,0,0.69
2021,04,2021-04,21-40,2021-04-15,12626,1406081,0,86,0,0.61
2021,04,2021-04,41-60,2021-04-15,14157,1277006,0,292,0,2.29
2021,04,2021-04,61-80,2021-04-15,11511,895802,4,984,3.47,10.98
2021,04,2021-04,81+,2021-04-15,8029,180464,12,1348,14.95,74.7
2021,05,2021-05,0-20,2021-05-12,6157,1333471,0,84,0,0.63
2021,05,2021-05,21-40,2021-05-12,59201,1359420,4,67,0.68,0.49
2021,05,2021-05,41-60,2021-05-12,70196,1220675,8,311,1.14,2.55
2021,05,2021-05,61-80,2021-05-12,56626,849699,69,993,12.19,11.69
2021,05,2021-05,81+,2021-05-12,18732,168401,227,1223,121.18,72.62
2021,06,2021-06,0-20,2021-06-16,11268,1328276,2,94,1.77,0.71
2021,06,2021-06,21-40,2021-06-16,99209,1319341,4,77,0.4,0.58
2021,06,2021-06,41-60,2021-06-16,131096,1159456,6,279,0.46,2.41
2021,06,2021-06,61-80,2021-06-16,202957,702306,226,855,11.14,12.17
2021,06,2021-06,81+,2021-06-16,64475,121208,567,915,87.94,75.49
2021,07,2021-07,0-20,2021-07-14,16231,1323217,2,95,1.23,0.72
2021,07,2021-07,21-40,2021-07-14,132531,1285938,4,72,0.3,0.56
2021,07,2021-07,41-60,2021-07-14,192320,1097947,29,274,1.51,2.5
2021,07,2021-07,61-80,2021-07-14,340753,563429,414,794,12.15,14.09
2021,07,2021-07,81+,2021-07-14,98730,85471,917,749,92.88,87.63
2021,08,2021-08,0-20,2021-08-18,39539,1299812,2,97,0.51,0.75
2021,08,2021-08,21-40,2021-08-18,285459,1132934,8,53,0.28,0.47
2021,08,2021-08,41-60,2021-08-18,491663,798301,64,236,1.3,2.96
2021,08,2021-08,61-80,2021-08-18,632445,270529,562,670,8.89,24.77
2021,08,2021-08,81+,2021-08-18,146138,36397,1082,619,74.04,170.07
2021,09,2021-09,0-20,2021-09-14,299977,1039275,9,101,0.3,0.97
