year;age_group;age_group_name;deaths;population;deaths_per_100000;
2000;0;Total;26670;3848650;692.970262299767;
2000;1;Under 1 year;345;56090;615.08290247816;
2000;2;1 - 4 years;87;228330;38.1027460254894;
2000;3;5 - 9 years;48;304000;15.7894736842105;
2000;4;10 - 14 years;60;289760;20.7067918277195;
2000;5;15 - 19 years;171;272450;62.7638098733713;
2000;6;20 - 24 years;192;256660;74.8071378477363;
2000;7;25 - 29 years;234;273670;85.5044396535974;
2000;8;30 - 35 years;264;293020;90.0962391645621;
2000;9;35 - 39 years;312;313360;99.5659943834567;
2000;10;40 - 44 years;444;287600;154.381084840056;
2000;11;45 - 49 years;609;256140;237.760599672054;
2000;12;50 - 54 years;873;234670;372.011761196574;
2000;13;55 - 60 years;1140;183430;621.490486834215;
2000;14;60 - 64 years;1458;149060;978.129612236683;
2000;15;65 - 69 years;2154;131800;1634.29438543247;
2000;16;70 - 74 years;3090;119240;2591.41227775914;
2000;17;75 - 79 years;4044;94540;4277.55447429659;
2000;18;80 - 84 years;4182;58320;7170.78189300411;
2000;19;85 - 89 years;3870;32580;11878.453038674;
2000;20;90+ years old;3093;13930;22203.8765254846;
2001;0;Total;27843;3870830;719.303095201804;
2001;1;Under 1 year;294;56570;519.710093689235;
2001;2;1 - 4 years;72;225610;31.9134790124551;
2001;3;5 - 9 years;48;298710;16.0690971176057;
2001;4;10 - 14 years;63;297390;21.1843034399274;
2001;5;15 - 19 years;189;275360;68.6374201045903;
2001;6;20 - 24 years;207;254980;81.1828378696368;
2001;7;25 - 29 years;201;263660;76.2345444891148;
2001;8;30 - 35 years;267;291850;91.4853520644167;
2001;9;35 - 39 years;306;309610;98.8340169891153;
2001;10;40 - 44 years;441;293880;150.061249489588;
2001;11;45 - 49 years;561;259480;216.201634037305;
2001;12;50 - 54 years;891;242260;367.786675472633;
2001;13;55 - 60 years;1080;187310;576.584272062356;
2001;14;60 - 64 years;1611;157170;1025.00477190303;
2001;15;65 - 69 years;2109;130870;1611.52288530603;
2001;16;70 - 74 years;3198;120330;2657.69134879083;
2001;17;75 - 79 years;3993;95690;4172.84982756819;
2001;18;80 - 84 years;4425;61380;7209.18866080156;
2001;19;85 - 89 years;4323;33850;12771.0487444609;
2001;20;90+ years old;3564;14870;23967.7202420982;
2002;0;Total;28059;3915460;716.620780189301;
2002;1;Under 1 year;300;55330;542.201337429966;
2002;2;1 - 4 years;78;225800;34.5438441098317;
2002;3;5 - 9 years;48;294560;16.2954915806627;
2002;4;10 - 14 years;54;304840;17.7142107334995;
2002;5;15 - 19 years;171;282220;60.5910282758132;
2002;6;20 - 24 years;186;260290;71.4587575396673;
2002;7;25 - 29 years;210;255570;82.1692686935086;
2002;8;30 - 35 years;252;293300;85.9188544152745;
2002;9;35 - 39 years;336;306590;109.592615545191;
2002;10;40 - 44 years;447;301700;148.160424262512;
2002;11;45 - 49 years;600;265630;225.878101118097;
2002;12;50 - 54 years;852;245650;346.834927742723;
2002;13;55 - 60 years;1179;195070;604.398421079612;
2002;14;60 - 64 years;1563;165020;947.157920252091;
2002;15;65 - 69 years;2037;131820;1545.28903049613;
2002;16;70 - 74 years;3072;120790;2543.25689212683;
2002;17;75 - 79 years;4089;97180;4207.65589627495;
2002;18;80 - 84 years;4455;63690;6994.81865284974;
2002;19;85 - 89 years;4380;34920;12542.9553264605;
2002;20;90+ years old;3750;15490;24209.1672046482;
2003;0;Total;28029;3989580;702.555156181854;
2003;1;Under 1 year;279;55170;505.709624796085;
2003;2;1 - 4 years;84;226190;37.1369202882532;
2003;3;5 - 9 years;42;294690;14.2522650921307;
2003;4;10 - 14 years;54;310720;17.3789907312049;
2003;5;15 - 19 years;210;291310;72.0881535134393;
2003;6;20 - 24 years;189;272110;69.4572048068796;
2003;7;25 - 29 years;186;253000;73.5177865612648;
2003;8;30 - 35 years;258;297130;86.8306801736614;
2003;9;35 - 39 years;327;305880;106.90466849745;
2003;10;40 - 44 years;465;312000;149.038461538462;
2003;11;45 - 49 years;636;273830;232.260891794179;
2003;12;50 - 54 years;891;247370;360.189190281764;
2003;13;55 - 60 years;1182;208080;568.050749711649;
2003;14;60 - 64 years;1539;170700;901.581722319859;
2003;15;65 - 69 years;2019;134200;1504.47093889717;
2003;16;70 - 74 years;2973;120820;2460.6853170005;
2003;17;75 - 79 years;3960;98560;4017.85714285714;
2003;18;80 - 84 years;4641;66380;6991.56372401326;
2003;19;85 - 89 years;4266;35160;12133.1058020478;
2003;20;90+ years old;3828;16280;23513.5135135135;
2004;0;Total;28407;4060590;699.578140122494;
2004;1;Under 1 year;324;56860;569.820612029546;
2004;2;1 - 4 years;60;226460;26.4947452088669;
2004;3;5 - 9 years;33;293980;11.2252534185999;
2004;4;10 - 14 years;51;314260;16.2286005218609;
2004;5;15 - 19 years;198;298130;66.4139804783148;
2004;6;20 - 24 years;195;282590;69.0045649173715;
2004;7;25 - 29 years;171;253890;67.3520028358738;
2004;8;30 - 35 years;213;298470;71.3639561765002;
2004;9;35 - 39 years;336;306450;109.642682329907;
2004;10;40 - 44 years;435;320110;135.890787541783;
2004;11;45 - 49 years;663;283280;234.044055351596;
2004;12;50 - 54 years;873;250040;349.14413693809;
2004;13;55 - 60 years;1173;221250;530.169491525424;
2004;14;60 - 64 years;1551;174830;887.147514728593;
2004;15;65 - 69 years;2016;138010;1460.76371277444;
2004;16;70 - 74 years;2856;120200;2376.03993344426;
2004;17;75 - 79 years;3963;100320;3950.35885167464;
2004;18;80 - 84 years;4857;68940;7045.25674499565;
2004;19;85 - 89 years;4404;35530;12395.159020546;
2004;20;90+ years old;4035;16990;23749.2642731018;
2005;0;Total;27054;4113090;657.753659657338;
2005;1;Under 1 year;297;57920;512.776243093923;
2005;2;1 - 4 years;54;226720;23.817925194072;
2005;3;5 - 9 years;45;292870;15.3651790896985;
2005;4;10 - 14 years;48;314280;15.2730049637266;
2005;5;15 - 19 years;204;303390;67.2401858993375;
2005;6;20 - 24 years;216;287290;75.1853527794215;
2005;7;25 - 29 years;168;255400;65.7791699295223;
2005;8;30 - 35 years;231;295670;78.1276423039199;
2005;9;35 - 39 years;321;307820;104.28172308492;
2005;10;40 - 44 years;483;323620;149.249119337495;
2005;11;45 - 49 years;645;291990;220.897975958081;
2005;12;50 - 54 years;831;254610;326.381524684812;
2005;13;55 - 60 years;1224;231540;528.63436123348;
2005;14;60 - 64 years;1503;179890;835.510589804881;
2005;15;65 - 69 years;1905;143160;1330.67896060352;
2005;16;70 - 74 years;2550;120160;2122.17043941411;
2005;17;75 - 79 years;3654;101360;3604.97237569061;
2005;18;80 - 84 years;4704;71780;6553.35748119253;
2005;19;85 - 89 years;4071;35880;11346.1538461538;
2005;20;90+ years old;3900;17740;21984.2164599775;
