year,month,age_group,count
2021,1,00_00,24
2021,1,40_44,36
2021,1,45_49,45
2021,1,50_54,78
2021,1,55_59,117
2021,1,60_64,159
2021,1,65_69,195
2021,1,70_74,312
2021,1,75_79,333
2021,1,80_84,423
2021,1,85_89,477
2021,1,01_04,3
2021,1,90_,537
2021,1,10_14,3
2021,1,15_19,18
2021,1,20_24,18
2021,1,25_29,15
2021,1,30_34,18
2021,1,35_39,27
2021,2,00_00,21
2021,2,40_44,33
2021,2,45_49,48
2021,2,50_54,78
2021,2,55_59,102
2021,2,60_64,153
2021,2,65_69,192
2021,2,70_74,267
2021,2,75_79,273
2021,2,80_84,375
2021,2,85_89,384
2021,2,90_,492
2021,2,05_09,6
2021,2,10_14,6
2021,2,15_19,6
2021,2,20_24,9
2021,2,25_29,15
2021,2,30_34,15
2021,2,35_39,24
2021,3,00_00,21
2021,3,40_44,36
2021,3,45_49,54
2021,3,50_54,87
2021,3,55_59,126
2021,3,60_64,165
2021,3,65_69,195
2021,3,70_74,285
2021,3,75_79,336
2021,3,80_84,444
2021,3,85_89,453
2021,3,01_04,3
2021,3,90_,582
2021,3,05_09,3
2021,3,15_19,9
2021,3,20_24,24
2021,3,25_29,30
2021,3,30_34,21
2021,3,35_39,30
2021,4,00_00,18
2021,4,40_44,33
2021,4,45_49,39
2021,4,50_54,84
2021,4,55_59,114
2021,4,60_64,150
2021,4,65_69,180
2021,4,70_74,252
2021,4,75_79,336
2021,4,80_84,417
2021,4,85_89,429
2021,4,01_04,6
2021,4,90_,555
2021,4,10_14,3
2021,4,20_24,12
2021,4,25_29,12
2021,4,30_34,21
2021,4,35_39,27
2021,5,00_00,24
2021,5,40_44,36
2021,5,45_49,48
2021,5,50_54,78
2021,5,55_59,117
2021,5,60_64,156
2021,5,65_69,213
2021,5,70_74,297
2021,5,75_79,351
2021,5,80_84,450
2021,5,85_89,477
2021,5,01_04,9
2021,5,90_,579
2021,5,10_14,6
2021,5,15_19,12
2021,5,20_24,12
2021,5,25_29,12
2021,5,30_34,30
2021,5,35_39,21
2021,6,00_00,36
2021,6,40_44,36
2021,6,45_49,54
2021,6,50_54,78
2021,6,55_59,120
2021,6,60_64,153
2021,6,65_69,231
2021,6,70_74,300
2021,6,75_79,351
2021,6,80_84,468
2021,6,85_89,504
2021,6,01_04,6
2021,6,90_,621
2021,6,10_14,6
2021,6,15_19,3
2021,6,20_24,9
2021,6,25_29,18
2021,6,30_34,18
2021,6,35_39,24
2021,7,00_00,21
2021,7,40_44,30
2021,7,45_49,45
2021,7,50_54,75
2021,7,55_59,111
2021,7,60_64,162
2021,7,65_69,213
2021,7,70_74,306
2021,7,75_79,399
2021,7,80_84,504
2021,7,85_89,534
2021,7,01_04,6
2021,7,90_,690
2021,7,05_09,6
2021,7,10_14,6
2021,7,15_19,6
2021,7,20_24,15
2021,7,25_29,18
2021,7,30_34,21
2021,7,35_39,24
2021,8,00_00,24
2021,8,40_44,33
2021,8,45_49,42
2021,8,50_54,75
2021,8,55_59,126
2021,8,60_64,168
2021,8,65_69,249
2021,8,70_74,312
2021,8,75_79,405
2021,8,80_84,507
2021,8,85_89,519
2021,8,01_04,6
2021,8,90_,669
2021,8,10_14,3
2021,8,15_19,15
2021,8,20_24,9
2021,8,25_29,15
2021,8,30_34,15
2021,8,35_39,21
2021,9,00_00,30
2021,9,40_44,27
2021,9,45_49,45
2021,9,50_54,81
2021,9,55_59,114
2021,9,60_64,174
2021,9,65_69,246
2021,9,70_74,288
2021,9,75_79,360
2021,9,80_84,447
2021,9,85_89,486
2021,9,01_04,3
2021,9,90_,717
2021,9,10_14,3
2021,9,15_19,15
2021,9,20_24,12
2021,9,25_29,9
2021,9,30_34,12
2021,9,35_39,21
2021,10,00_00,18
2021,10,40_44,27
2021,10,45_49,42
2021,10,50_54,69
2021,10,55_59,126
2021,10,60_64,162
2021,10,65_69,186
2021,10,70_74,261
2021,10,75_79,312
2021,10,80_84,447
2021,10,85_89,435
2021,10,01_04,3
2021,10,90_,570
2021,10,10_14,3
2021,10,15_19,12
2021,10,20_24,21
2021,10,25_29,15
2021,10,30_34,21
2021,10,35_39,21
2021,11,00_00,12
2021,11,40_44,42
2021,11,45_49,45
2021,11,50_54,99
2021,11,55_59,108
2021,11,60_64,156
2021,11,65_69,213
2021,11,70_74,294
2021,11,75_79,375
2021,11,80_84,423
2021,11,85_89,507
2021,11,01_04,3
2021,11,90_,573
2021,11,05_09,6
2021,11,10_14,3
2021,11,15_19,12
2021,11,20_24,21
2021,11,25_29,21
2021,11,30_34,15
2021,11,35_39,24
2021,12,00_00,21
2021,12,40_44,27
2021,12,45_49,45
2021,12,50_54,93
2021,12,55_59,123
2021,12,60_64,162
2021,12,65_69,186
2021,12,70_74,306
2021,12,75_79,375
2021,12,80_84,420
2021,12,85_89,456
2021,12,01_04,6
2021,12,90_,567
2021,12,05_09,3
2021,12,15_19,9
2021,12,20_24,21
2021,12,25_29,12
2021,12,30_34,27
2021,12,35_39,24
2022,1,00_00,15
2022,1,40_44,27
2022,1,45_49,60
2022,1,50_54,84
2022,1,55_59,126
2022,1,60_64,165
2022,1,65_69,207
2022,1,70_74,300
2022,1,75_79,357
2022,1,80_84,432
2022,1,85_89,405
2022,1,01_04,9
2022,1,90_,603
2022,1,05_09,3
2022,1,10_14,9
2022,1,15_19,12
2022,1,20_24,15
2022,1,25_29,21
2022,1,30_34,24
2022,1,35_39,27
2022,2,00_00,18
2022,2,40_44,24
2022,2,45_49,45
2022,2,50_54,72
