age,count
1,60200
2,60320
3,61890
4,63220
5,63530
6,64290
7,64870
8,67140
9,66980
10,68190
11,67760
12,67680
13,67120
14,64300
15,62590
16,62830
17,62720
18,62720
19,64370
20,66630
21,65880
22,65910
23,67940
24,69360
25,71520
26,72680
27,75030
28,78200
29,79660
30,80220
31,77670
32,76030
33,74360
34,70920
35,69530
36,68510
37,67610
38,66960
39,65060
40,64190
41,63120
42,61400
43,60800
44,60870
45,61490
46,63680
47,65410
48,67900
49,68880
50,67760
51,66840
52,66160
53,64300
54,63270
55,63560
56,64700
57,66130
58,66190
59,64610
60,62540
61,60590
62,58750
63,57060
64,55190
65,53590
66,51900
67,49630
68,48550
69,46630
70,45730
71,44540
72,43680
73,43190
74,39080
75,34240
76,31380
77,28090
78,27450
79,27540
80,25300
81,22120
82,19820
83,17610
84,15690
85,13710
86,12670
87,11080
88,9700
89,8620
90+,33920
