archive_url,archive_date,age_group,first_doses,second_doses
https://web.archive.org/web/20210407235229/https://health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021-04-07,10 - 19 years,1438,243
https://web.archive.org/web/20210407235229/https://health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021-04-07,20 - 29 years,14951,3686
https://web.archive.org/web/20210407235229/https://health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021-04-07,30 - 39 years,14750,4040
https://web.archive.org/web/20210407235229/https://health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021-04-07,40 - 49 years,12866,3871
https://web.archive.org/web/20210407235229/https://health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021-04-07,50 - 59 years,14786,4415
https://web.archive.org/web/20210407235229/https://health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021-04-07,60 - 69 years,9403,2553
https://web.archive.org/web/20210407235229/https://health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021-04-07,70 - 79 years,2328,413
https://web.archive.org/web/20210407235229/https://health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021-04-07,80 + years / Unknown,491,52
https://web.archive.org/web/20210407235229/https://health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021-04-07,Total,71013,19273
https://web.archive.org/web/20210415071705/https://health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021-04-15,10 - 19 years,2005,578
https://web.archive.org/web/20210415071705/https://health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021-04-15,20 - 29 years,20846,6379
https://web.archive.org/web/20210415071705/https://health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021-04-15,30 - 39 years,21300,6303
https://web.archive.org/web/20210415071705/https://health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021-04-15,40 - 49 years,18906,5767
https://web.archive.org/web/20210415071705/https://health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021-04-15,50 - 59 years,22082,6557
https://web.archive.org/web/20210415071705/https://health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021-04-15,60 - 69 years,14932,3814
https://web.archive.org/web/20210415071705/https://health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021-04-15,70 - 79 years,4244,681
https://web.archive.org/web/20210415071705/https://health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021-04-15,80 + years / Unknown,1076,115
https://web.archive.org/web/20210415071705/https://health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021-04-15,Total,105391,30194
https://web.archive.org/web/20210421233327/https://health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021-04-21,10 - 19 years,2658,939
https://web.archive.org/web/20210421233327/https://health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021-04-21,20 - 29 years,26724,9168
https://web.archive.org/web/20210421233327/https://health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021-04-21,30 - 39 years,27617,8787
https://web.archive.org/web/20210421233327/https://health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021-04-21,40 - 49 years,24776,7904
https://web.archive.org/web/20210421233327/https://health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021-04-21,50 - 59 years,29656,9163
https://web.archive.org/web/20210421233327/https://health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021-04-21,60 - 69 years,20824,5460
