year,month,age_group,count
2010,1,Under 70,681
2010,1,70+,1542
2010,2,Under 70,579
2010,2,70+,1377
2010,3,Under 70,750
2010,3,70+,1623
2010,4,Under 70,684
2010,4,70+,1611
2010,5,Under 70,678
2010,5,70+,1596
2010,6,Under 70,702
2010,6,70+,1824
2010,7,Under 70,747
2010,7,70+,1935
2010,8,Under 70,765
2010,8,70+,1899
2010,9,Under 70,777
2010,9,70+,1857
2010,10,Under 70,645
2010,10,70+,1647
2010,11,Under 70,732
2010,11,70+,1734
2010,12,Under 70,669
2010,12,70+,1572
2011,1,Under 70,726
2011,1,70+,1677
2011,2,Under 70,672
2011,2,70+,1542
2011,3,Under 70,864
2011,3,70+,1767
2011,4,Under 70,606
2011,4,70+,1584
2011,5,Under 70,765
2011,5,70+,1884
2011,6,Under 70,627
2011,6,70+,1821
2011,7,Under 70,681
2011,7,70+,1851
2011,8,Under 70,750
2011,8,70+,2028
2011,9,Under 70,804
2011,9,70+,2241
2011,10,Under 70,675
2011,10,70+,1800
2011,11,Under 70,780
2011,11,70+,1878
2011,12,Under 70,666
2011,12,70+,1554
2012,1,Under 70,741
2012,1,70+,1755
2012,2,Under 70,708
2012,2,70+,1536
2012,3,Under 70,618
2012,3,70+,1590
2012,4,Under 70,636
2012,4,70+,1575
2012,5,Under 70,753
2012,5,70+,1929
2012,6,Under 70,657
2012,6,70+,1788
2012,7,Under 70,762
2012,7,70+,2166
2012,8,Under 70,795
2012,8,70+,2250
2012,9,Under 70,654
2012,9,70+,1845
2012,10,Under 70,699
2012,10,70+,2088
2012,11,Under 70,690
2012,11,70+,1800
2012,12,Under 70,639
2012,12,70+,1572
2013,1,Under 70,777
2013,1,70+,1878
2013,2,Under 70,615
2013,2,70+,1452
2013,3,Under 70,609
2013,3,70+,1500
2013,4,Under 70,726
2013,4,70+,1806
2013,5,Under 70,714
2013,5,70+,1866
2013,6,Under 70,609
2013,6,70+,1650
2013,7,Under 70,780
2013,7,70+,2097
2013,8,Under 70,702
2013,8,70+,2025
2013,9,Under 70,756
2013,9,70+,1872
2013,10,Under 70,696
2013,10,70+,1950
2013,11,Under 70,687
2013,11,70+,1665
2013,12,Under 70,645
2013,12,70+,1617
2014,1,Under 70,684
2014,1,70+,1767
2014,2,Under 70,645
2014,2,70+,1572
2014,3,Under 70,615
2014,3,70+,1629
2014,4,Under 70,678
2014,4,70+,1593
2014,5,Under 70,756
2014,5,70+,1923
2014,6,Under 70,732
2014,6,70+,1929
