Date,First Doses
2021-04-07,71013
2021-04-15,105391
2021-04-21,140580
2021-04-28,172564
2021-05-05,217603
2021-05-12,268787
2021-05-19,321502
2021-05-26,371043
2021-06-02,432509
2021-06-09,498670
2021-06-16,567188
2021-06-23,637847
2021-06-30,705062
2021-07-07,768867
2021-07-14,839553
2021-07-21,924776
2021-07-28,1059685
2021-08-04,1251316
2021-08-11,1444895
2021-08-18,1655598
2021-08-25,1882106
2021-08-31,2289472
2021-09-07,2658325
2021-09-14,2933760
2021-09-21,3142548
2021-09-28,3263222
2021-10-05,3357631
2021-10-12,3477201
2021-10-19,3589856
2021-10-26,3654430
2021-11-03,3719838
2021-11-10,3762312
2021-11-17,3808367
2021-11-24,3842917
2021-12-01,3891934
2021-12-08,3937586
2021-12-15,3961598
2021-12-22,3976965
2021-12-29,3983021
2022-01-05,3989703
2022-01-12,4006033
2022-02-16,4050554
2022-02-23,4286274
2022-03-02,4302619
2022-03-09,4304906
2022-03-16,4317196
2022-03-23,4305386
2022-03-30,4307250
2022-04-06,4308184
2022-04-13,4309103
2022-04-20,4309495
2022-04-27,4309995
2022-05-04,4310190
2022-05-11,4310174
2022-05-18,4309696
2022-05-25,4309759
2022-06-01,4309875
2022-06-08,4309559
2022-06-15,4309912
2022-06-22,4310154
2022-06-29,4310365
2022-07-06,4310643
2022-07-13,4310817
2022-07-20,4311207
2022-07-27,4311406
2022-08-03,4310648
2022-08-10,4313121
2022-08-17,4313262
2022-08-24,4313103
2022-08-31,4313366
2022-09-07,4313294
2022-09-14,4312747
2022-09-21,4312285
2022-09-28,4311962
2022-10-05,4311603
2022-11-02,4310034
2022-12-07,4308369
2023-01-11,4306979
2023-02-01,4306343
2023-03-01,4305520
2023-04-05,4303659
2023-05-03,4303285
