age,count
1,8
2,8
3,6
4,17
5,924
6,7469
7,12006
8,12815
9,13813
10,15098
11,16333
12,17252
13,19714
14,20535
15,20910
16,21513
17,23763
18,24712
19,25786
20,25143
21,25198
22,25947
23,26357
24,25356
25,25332
26,25424
27,25954
28,26682
29,27085
30,28949
31,30120
32,30966
33,31287
34,30545
35,30073
36,29458
37,28430
38,28246
39,27618
40,27107
41,27100
42,26826
43,26629
44,26527
45,26054
46,26232
47,26507
48,27139
49,28426
50,29690
51,32210
52,33033
53,32832
54,32399
55,32648
56,32148
57,31916
58,32319
59,33603
60,35081
61,35506
62,35482
63,34678
64,33813
65,33862
66,34541
67,34179
68,33763
69,33359
70,32023
71,32023
72,31525
73,31279
74,30478
75,30417
76,30691
77,27361
78,24306
79,21936
80,19607
81,19945
82,19430
83,17696
84,15530
85,13566
86,12233
87,10634
88,9069
89,8325
90+,35194
