date,total
2021-04-08,1
2021-04-10,1
2021-04-12,3
2021-04-13,2
2021-04-14,1
2021-04-15,1
2021-04-16,2
2021-04-17,7
2021-04-18,7
2021-04-19,11
2021-04-20,20
2021-04-21,23
2021-04-22,21
2021-04-23,31
2021-04-24,36
2021-04-25,45
2021-04-26,67
2021-04-27,70
2021-04-28,91
2021-04-29,104
2021-04-30,109
2021-05-01,140
2021-05-02,146
2021-05-03,185
2021-05-04,169
2021-05-05,201
2021-05-06,220
2021-05-07,236
2021-05-08,249
2021-05-09,324
2021-05-10,292
2021-05-11,302
2021-05-12,301
2021-05-13,331
2021-05-14,364
2021-05-15,394
2021-05-16,432
2021-05-17,406
2021-05-18,451
2021-05-19,495
2021-05-20,520
2021-05-21,463
2021-05-22,517
2021-05-23,584
2021-05-24,614
2021-05-25,605
2021-05-26,653
2021-05-27,675
2021-05-28,665
2021-05-29,706
2021-05-30,790
2021-05-31,776
2021-06-01,750
2021-06-02,756
2021-06-03,752
2021-06-04,803
2021-06-05,849
2021-06-06,927
2021-06-07,882
2021-06-08,896
2021-06-09,898
2021-06-10,918
2021-06-11,898
2021-06-12,964
2021-06-13,1070
2021-06-14,1071
2021-06-15,1025
2021-06-16,990
2021-06-17,998
2021-06-18,1011
2021-06-19,1101
2021-06-20,1151
2021-06-21,1108
2021-06-22,1075
2021-06-23,1010
2021-06-24,1085
2021-06-25,1110
2021-06-26,1174
2021-06-27,1076
2021-06-28,1088
2021-06-29,1103
2021-06-30,1110
2021-07-01,1168
2021-07-02,1122
2021-07-03,1212
2021-07-04,1288
2021-07-05,1286
2021-07-06,1215
2021-07-07,1257
2021-07-08,1271
2021-07-09,1317
2021-07-10,1349
2021-07-11,1420
2021-07-12,1495
2021-07-13,1462
2021-07-14,1518
2021-07-15,1661
2021-07-16,1733
2021-07-17,1897
2021-07-18,1999
2021-07-19,2039
2021-07-20,2160
2021-07-21,2205
2021-07-22,2409
2021-07-23,2658
2021-07-24,2937
2021-07-25,3134
2021-07-26,3425
2021-07-27,3459
2021-07-28,3759
2021-07-29,3940
2021-07-30,4355
2021-07-31,4770
2021-08-01,5070
2021-08-02,5405
2021-08-03,5539
2021-08-04,5805
2021-08-05,6348
2021-08-06,6739
2021-08-07,7175
2021-08-08,7939
2021-08-09,8174
2021-08-10,8513
2021-08-11,8721
2021-08-12,9396
2021-08-13,10082
2021-08-14,10636
2021-08-15,11823
2021-08-16,12385
2021-08-17,12650
2021-08-18,14541
2021-08-19,14701
2021-08-20,14952
2021-08-21,16300
2021-08-22,17349
2021-08-23,17697
2021-08-24,18132
2021-08-25,18761
2021-08-26,19230
2021-08-27,19417
2021-08-28,20571
2021-08-29,21735
2021-08-30,20235
2021-08-31,20187
2021-09-01,20055
2021-09-02,19546
2021-09-03,19386
2021-09-04,19127
2021-09-05,19565
2021-09-06,18079
2021-09-07,17450
2021-09-08,16977
2021-09-09,16509
2021-09-10,15963
2021-09-11,15282
2021-09-12,15413
2021-09-13,14726
2021-09-14,14020
2021-09-15,13588
2021-09-16,13424
2021-09-17,12934
2021-09-18,13029
2021-09-19,13170
2021-09-20,12588
2021-09-21,12550
2021-09-22,12552
2021-09-23,12396
2021-09-24,12783
2021-09-25,12994
2021-09-26,13663
2021-09-27,13392
2021-09-28,13591
2021-09-29,14158
2021-09-30,14484
2021-10-01,15245
2021-10-02,15587
2021-10-03,16879
2021-10-04,16677
2021-10-05,16992
2021-10-06,17354
2021-10-07,17512
2021-10-08,17963
2021-10-09,18524
2021-10-10,19794
2021-10-11,18857
2021-10-12,18483
2021-10-13,18338
2021-10-14,18140
2021-10-15,18051
2021-10-16,15904
2021-10-17,17428
2021-10-18,16543
2021-10-19,15468
2021-10-20,15106
2021-10-21,14401
2021-10-22,13644
2021-10-23,13131
2021-10-24,12961
2021-10-25,12547
2021-10-26,11340
2021-10-27,11062
2021-10-28,10652
2021-10-29,10116
2021-10-30,10069
2021-10-31,10200
2021-11-01,9624
2021-11-02,9354
2021-11-03,9321
2021-11-04,9092
2021-11-05,8825
2021-11-06,8632
2021-11-07,8635
2021-11-08,8345
2021-11-09,8081
2021-11-10,8005
2021-11-11,7926
2021-11-12,7808
2021-11-13,7654
2021-11-14,7919
2021-11-15,7653
2021-11-16,7510
2021-11-17,7488
2021-11-18,7589
2021-11-19,7568
2021-11-20,7708
2021-11-21,7880
2021-11-22,8035
2021-11-23,7741
2021-11-24,7715
2021-11-25,8268
2021-11-26,8396
2021-11-27,8613
2021-11-28,8973
2021-11-29,8321
2021-11-30,8407
2021-12-01,8501
2021-12-02,8471
2021-12-03,8343
2021-12-04,8658
2021-12-05,8747
2021-12-06,8328
2021-12-07,7858
2021-12-08,7959
2021-12-09,7695
2021-12-10,7491
2021-12-11,7492
2021-12-12,7517
2021-12-13,6929
2021-12-14,6663
2021-12-15,6485
2021-12-16,6212
2021-12-17,6207
2021-12-18,6423
2021-12-19,6255
2021-12-20,5681
2021-12-21,5555
2021-12-22,5370
2021-12-23,5436
2021-12-24,5333
2021-12-25,5963
2021-12-26,5779
2021-12-27,5944
2021-12-28,6119
2021-12-29,5855
2021-12-30,6406
2021-12-31,6793
2022-01-01,7574
2022-01-02,8192
2022-01-03,8735
2022-01-04,9469
2022-01-05,9111
2022-01-06,9825
2022-01-07,10591
2022-01-08,12127
2022-01-09,13074
2022-01-10,12248
2022-01-11,13156
2022-01-12,13581
2022-01-13,14172
2022-01-14,14752
2022-01-15,15561
2022-01-16,16620
2022-01-17,15597
2022-01-18,16066
2022-01-19,16261
2022-01-20,16805
2022-01-21,17440
2022-01-22,17650
2022-01-23,18278
2022-01-24,17579
2022-01-25,17280
2022-01-26,17468
2022-01-27,17557
2022-01-28,17760
2022-01-29,18340
2022-01-30,18825
2022-01-31,18387
2022-02-01,18031
2022-02-02,18143
2022-02-03,17909
2022-02-04,17446
2022-02-05,17981
2022-02-06,18756
2022-02-07,18830
2022-02-08,17436
2022-02-09,17388
2022-02-10,17273
2022-02-11,16929
2022-02-12,16802
2022-02-13,17213
2022-02-14,16160
2022-02-15,15664
2022-02-16,15344
2022-02-17,14757
2022-02-18,14221
2022-02-19,14032
2022-02-20,13676
2022-02-21,12680
2022-02-22,12095
2022-02-23,11467
2022-02-24,10830
2022-02-25,10077
2022-02-26,9951
2022-02-27,9806
2022-02-28,8685
2022-03-01,8368
2022-03-02,7900
2022-03-03,7496
2022-03-04,7202
2022-03-05,6967
2022-03-06,6640
2022-03-07,6127
2022-03-08,5811
2022-03-09,5518
2022-03-10,5176
2022-03-11,4767
2022-03-12,4737
2022-03-13,4786
2022-03-14,4321
2022-03-15,4276
2022-03-16,4050
2022-03-17,3890
2022-03-18,3747
2022-03-19,3619
2022-03-20,3675
2022-03-21,3379
2022-03-22,3338
2022-03-23,3168
2022-03-24,3061
2022-03-25,2902
2022-03-26,2811
2022-03-27,2782
2022-03-28,2516
2022-03-29,2400
2022-03-30,2249
2022-03-31,2143
2022-04-01,1995
2022-04-02,1899
2022-04-03,1820
2022-04-04,1712
2022-04-05,1690
2022-04-06,1586
2022-04-07,1416
2022-04-08,1356
2022-04-09,1231
2022-04-10,1247
2022-04-11,1175
2022-04-12,1067
2022-04-13,996
2022-04-14,918
2022-04-15,1029
2022-04-16,967
2022-04-17,843
2022-04-18,849
2022-04-19,774
2022-04-20,793
2022-04-21,776
2022-04-22,735
2022-04-23,807
2022-04-24,735
2022-04-25,774
2022-04-26,711
2022-04-27,708
2022-04-28,721
2022-04-29,664
2022-04-30,690
2022-05-01,698
2022-05-02,672
2022-05-03,643
2022-05-04,675
2022-05-05,630
2022-05-06,614
2022-05-07,622
2022-05-08,633
2022-05-09,602
2022-05-10,611
2022-05-11,599
2022-05-12,651
2022-05-13,600
2022-05-14,674
2022-05-15,693
2022-05-16,653
2022-05-17,653
2022-05-18,712
2022-05-19,702
2022-05-20,706
2022-05-21,810
2022-05-22,755
2022-05-23,800
2022-05-24,812
2022-05-25,752
2022-05-26,822
2022-05-27,818
2022-05-28,816
2022-05-29,801
2022-05-30,816
2022-05-31,838
2022-06-01,832
2022-06-02,787
2022-06-03,826
2022-06-04,867
2022-06-05,839
2022-06-06,913
2022-06-07,836
2022-06-08,863
2022-06-09,905
2022-06-10,883
2022-06-11,912
2022-06-12,985
2022-06-13,983
2022-06-14,992
2022-06-15,1064
2022-06-16,1110
2022-06-17,1115
2022-06-18,1212
2022-06-19,1399
2022-06-20,1496
2022-06-21,1650
2022-06-22,1874
2022-06-23,2100
2022-06-24,2406
2022-06-25,2642
2022-06-26,3037
2022-06-27,3181
2022-06-28,3465
2022-06-29,3901
2022-06-30,4227
2022-07-01,4628
2022-07-02,5287
2022-07-03,5744
2022-07-04,5921
2022-07-05,6364
2022-07-06,6540
2022-07-07,6926
2022-07-08,7373
2022-07-09,8045
2022-07-10,8518
2022-07-11,7912
2022-07-12,8307
2022-07-13,8485
2022-07-14,8559
2022-07-15,8535
2022-07-16,9182
2022-07-17,9242
2022-07-18,8704
2022-07-19,8827
2022-07-20,8721
2022-07-21,8579
2022-07-22,8543
2022-07-23,8616
2022-07-24,8717
2022-07-25,8123
2022-07-26,7823
2022-07-27,7716
2022-07-28,7599
2022-07-29,7268
2022-07-30,7612
2022-07-31,7763
2022-08-01,7154
2022-08-02,6690
2022-08-03,6766
2022-08-04,6480
2022-08-05,6211
2022-08-06,6608
2022-08-07,6510
2022-08-08,6041
2022-08-09,5804
2022-08-10,5740
2022-08-11,5597
2022-08-12,5489
2022-08-13,5581
2022-08-14,5625
2022-08-15,5098
2022-08-16,4885
2022-08-17,4837
2022-08-18,4710
2022-08-19,4691
2022-08-20,4776
2022-08-21,4542
2022-08-22,4294
2022-08-23,4124
2022-08-24,3900
2022-08-25,3885
2022-08-26,3857
2022-08-27,3813
2022-08-28,3801
2022-08-29,3362
2022-08-30,3258
2022-08-31,3205
2022-09-01,3092
2022-09-02,2945
2022-09-03,3045
2022-09-04,3059
2022-09-05,2743
2022-09-06,2642
2022-09-07,2639
2022-09-08,2467
2022-09-09,2401
2022-09-10,2424
2022-09-11,2410
2022-09-12,2261
2022-09-13,2162
2022-09-14,2117
2022-09-15,2037
2022-09-16,2007
2022-09-17,2050
2022-09-18,2009
2022-09-19,1740
2022-09-20,1707
2022-09-21,1634
2022-09-22,1652
2022-09-23,1645
2022-09-24,1596
2022-09-25,1631
2022-09-26,1645
2022-09-27,1461
2022-09-28,1364
2022-09-29,1465
2022-09-30,1424
2022-10-01,1519
2022-10-02,1522
2022-10-03,1455
2022-10-04,1499
2022-10-05,1485
2022-10-06,1477
2022-10-07,1469
2022-10-08,1622
2022-10-09,1542
2022-10-10,1582
2022-10-11,1640
2022-10-12,1622
2022-10-13,1692
2022-10-14,1635
2022-10-15,1649
2022-10-16,1860
2022-10-17,1651
2022-10-18,1682
2022-10-19,1633
2022-10-20,1656
2022-10-21,1641
2022-10-22,1742
2022-10-23,1697
2022-10-24,1717
2022-10-25,1615
2022-10-26,1571
2022-10-27,1626
2022-10-28,1589
2022-10-29,1598
2022-10-30,1667
2022-10-31,1560
2022-11-01,1600
2022-11-02,1566
2022-11-03,1540
2022-11-04,1552
2022-11-05,1568
2022-11-06,1641
2022-11-07,1591
2022-11-08,1559
2022-11-09,1530
2022-11-10,1543
2022-11-11,1500
2022-11-12,1644
2022-11-13,1697
2022-11-14,1526
2022-11-15,1634
2022-11-16,1562
2022-11-17,1482
2022-11-18,1545
2022-11-19,1642
2022-11-20,1644
2022-11-21,1557
2022-11-22,1547
2022-11-23,1608
2022-11-24,1536
2022-11-25,1538
2022-11-26,1677
2022-11-27,1638
2022-11-28,1546
2022-11-29,1534
2022-11-30,1555
2022-12-01,1548
2022-12-02,1567
2022-12-03,1665
2022-12-04,1612
2022-12-05,1541
2022-12-06,1525
2022-12-07,1542
2022-12-08,1559
2022-12-09,1604
2022-12-10,1624
2022-12-11,1683
2022-12-12,1559
2022-12-13,1478
2022-12-14,1534
2022-12-15,1463
2022-12-16,1396
2022-12-17,1423
2022-12-18,1442
2022-12-19,1255
2022-12-20,1170
2022-12-21,1128
2022-12-22,1045
2022-12-23,1022
2022-12-24,1013
2022-12-25,935
2022-12-26,826
2022-12-27,822
2022-12-28,671
2022-12-29,618
2022-12-30,620
2022-12-31,644
2023-01-01,623
2023-01-02,641
2023-01-03,620
2023-01-04,603
2023-01-05,614
2023-01-06,545
2023-01-07,636
2023-01-08,639
2023-01-09,571
2023-01-10,581
2023-01-11,604
2023-01-12,580
2023-01-13,633
2023-01-14,607
2023-01-15,622
2023-01-16,585
2023-01-17,546
2023-01-18,529
2023-01-19,486
2023-01-20,485
2023-01-21,523
2023-01-22,466
2023-01-23,462
2023-01-24,432
2023-01-25,412
2023-01-26,404
2023-01-27,410
2023-01-28,389
2023-01-29,370
2023-01-30,340
2023-01-31,349
2023-02-01,318
2023-02-02,324
2023-02-03,295
2023-02-04,318
2023-02-05,320
2023-02-06,323
2023-02-07,273
2023-02-08,269
2023-02-09,266
2023-02-10,255
2023-02-11,253
2023-02-12,253
2023-02-13,247
2023-02-14,262
2023-02-15,263
2023-02-16,198
2023-02-17,219
2023-02-18,245
2023-02-19,216
2023-02-20,241
2023-02-21,215
2023-02-22,223
2023-02-23,212
2023-02-24,266
2023-02-25,246
2023-02-26,275
2023-02-27,239
2023-02-28,252
2023-03-01,262
2023-03-02,298
2023-03-03,259
2023-03-04,333
2023-03-05,331
2023-03-06,283
2023-03-07,324
2023-03-08,329
2023-03-09,300
2023-03-10,340
2023-03-11,394
2023-03-12,353
2023-03-13,381
2023-03-14,352
2023-03-15,380
2023-03-16,439
2023-03-17,509
2023-03-18,587
2023-03-19,673
2023-03-20,829
2023-03-21,899
2023-03-22,1206
2023-03-23,1519
2023-03-24,1724
2023-03-25,2131
2023-03-26,2667
2023-03-27,2932
