Month of Death,Age at death,Last COVID-19 dose number,Days between last vaccination and death,Count
2019-07,0 to 20,0,N/A,109
2019-07,100+,0,N/A,28
2019-07,21 to 40,0,N/A,79
2019-07,41 to 60,0,N/A,288
2019-07,61 to 80,0,N/A,1168
2019-07,81 to 100,0,N/A,1727
2019-08,0 to 20,0,N/A,70
2019-08,100+,0,N/A,23
2019-08,21 to 40,0,N/A,89
2019-08,41 to 60,0,N/A,361
2019-08,61 to 80,0,N/A,1130
2019-08,81 to 100,0,N/A,1521
2019-09,0 to 20,0,N/A,93
2019-09,100+,0,N/A,15
2019-09,21 to 40,0,N/A,85
2019-09,41 to 60,0,N/A,284
2019-09,61 to 80,0,N/A,1091
2019-09,81 to 100,0,N/A,1411
2019-10,0 to 20,0,N/A,76
2019-10,100+,0,N/A,21
2019-10,21 to 40,0,N/A,81
2019-10,41 to 60,0,N/A,296
2019-10,61 to 80,0,N/A,1041
2019-10,81 to 100,0,N/A,1391
2019-11,0 to 20,0,N/A,74
2019-11,100+,0,N/A,21
2019-11,21 to 40,0,N/A,97
2019-11,41 to 60,0,N/A,300
2019-11,61 to 80,0,N/A,947
2019-11,81 to 100,0,N/A,1268
2019-12,0 to 20,0,N/A,105
2019-12,100+,0,N/A,13
2019-12,21 to 40,0,N/A,80
2019-12,41 to 60,0,N/A,322
2019-12,61 to 80,0,N/A,947
2019-12,81 to 100,0,N/A,1183
2020-01,0 to 20,0,N/A,75
2020-01,100+,0,N/A,19
2020-01,21 to 40,0,N/A,80
2020-01,41 to 60,0,N/A,330
2020-01,61 to 80,0,N/A,1017
2020-01,81 to 100,0,N/A,1250
2020-02,0 to 20,0,N/A,78
2020-02,100+,0,N/A,15
2020-02,21 to 40,0,N/A,78
2020-02,41 to 60,0,N/A,275
2020-02,61 to 80,0,N/A,918
2020-02,81 to 100,0,N/A,1188
2020-03,0 to 20,0,N/A,82
2020-03,100+,0,N/A,19
2020-03,21 to 40,0,N/A,84
2020-03,41 to 60,0,N/A,293
2020-03,61 to 80,0,N/A,1009
2020-03,81 to 100,0,N/A,1277
2020-04,0 to 20,0,N/A,74
2020-04,100+,0,N/A,15
2020-04,21 to 40,0,N/A,57
2020-04,41 to 60,0,N/A,288
2020-04,61 to 80,0,N/A,1008
2020-04,81 to 100,0,N/A,1302
2020-05,0 to 20,0,N/A,86
2020-05,100+,0,N/A,20
2020-05,21 to 40,0,N/A,70
2020-05,41 to 60,0,N/A,285
2020-05,61 to 80,0,N/A,1046
2020-05,81 to 100,0,N/A,1271
2020-06,0 to 20,0,N/A,90
2020-06,100+,0,N/A,15
2020-06,21 to 40,0,N/A,59
2020-06,41 to 60,0,N/A,285
2020-06,61 to 80,0,N/A,966
2020-06,81 to 100,0,N/A,1331
2020-07,0 to 20,0,N/A,89
2020-07,100+,0,N/A,18
2020-07,21 to 40,0,N/A,75
2020-07,41 to 60,0,N/A,295
2020-07,61 to 80,0,N/A,1101
2020-07,81 to 100,0,N/A,1404
2020-08,0 to 20,0,N/A,87
2020-08,100+,0,N/A,11
2020-08,21 to 40,0,N/A,82
2020-08,41 to 60,0,N/A,265
2020-08,61 to 80,0,N/A,1072
2020-08,81 to 100,0,N/A,1354
2020-09,0 to 20,0,N/A,88
2020-09,100+,0,N/A,12
2020-09,21 to 40,0,N/A,70
2020-09,41 to 60,0,N/A,292
2020-09,61 to 80,0,N/A,1031
2020-09,81 to 100,0,N/A,1223
2020-10,0 to 20,0,N/A,82
2020-10,100+,0,N/A,15
2020-10,21 to 40,0,N/A,84
2020-10,41 to 60,0,N/A,324
2020-10,61 to 80,0,N/A,1057
2020-10,81 to 100,0,N/A,1272
2020-11,0 to 20,0,N/A,68
2020-11,100+,0,N/A,17
2020-11,21 to 40,0,N/A,59
2020-11,41 to 60,0,N/A,312
2020-11,61 to 80,0,N/A,1025
2020-11,81 to 100,0,N/A,1214
2020-12,0 to 20,0,N/A,93
2020-12,100+,0,N/A,13
2020-12,21 to 40,0,N/A,81
2020-12,41 to 60,0,N/A,322
2020-12,61 to 80,0,N/A,1017
2020-12,81 to 100,0,N/A,1387
2021-01,0 to 20,0,N/A,88
2021-01,100+,0,N/A,17
2021-01,21 to 40,0,N/A,78
2021-01,41 to 60,0,N/A,304
2021-01,61 to 80,0,N/A,1079
2021-01,81 to 100,0,N/A,1351
2021-02,0 to 20,0,N/A,86
2021-02,100+,0,N/A,13
2021-02,21 to 40,0,N/A,78
2021-02,41 to 60,0,N/A,287
2021-02,61 to 80,0,N/A,890
2021-02,81 to 100,0,N/A,1181
2021-03,0 to 20,0,N/A,82
2021-03,100+,0,N/A,19
2021-03,21 to 40,0,N/A,97
2021-03,41 to 60,0,N/A,300
2021-03,41 to 60,1,<= 30,<5
2021-03,61 to 80,0,N/A,1049
2021-03,61 to 80,1,<= 30,<5
2021-03,81 to 100,0,N/A,1335
2021-04,0 to 20,0,N/A,93
2021-04,100+,0,N/A,15
2021-04,21 to 40,0,N/A,86
2021-04,41 to 60,0,N/A,292
2021-04,61 to 80,0,N/A,984
2021-04,61 to 80,1,<= 30,<5
2021-04,61 to 80,2,<= 30,<5
2021-04,81 to 100,0,N/A,1333
2021-04,81 to 100,1,<= 30,12
2021-05,0 to 20,0,N/A,84
2021-05,100+,0,N/A,14
2021-05,100+,1,<= 30,<5
2021-05,21 to 40,0,N/A,67
2021-05,21 to 40,1,<= 30,<5
2021-05,21 to 40,2,<= 90,<5
2021-05,41 to 60,0,N/A,311
2021-05,41 to 60,1,<= 30,<5
2021-05,41 to 60,1,<= 90,<5
2021-05,41 to 60,2,<= 30,<5
2021-05,41 to 60,2,<= 90,<5
2021-05,61 to 80,0,N/A,993
2021-05,61 to 80,1,<= 30,54
2021-05,61 to 80,1,<= 90,<5
2021-05,61 to 80,2,<= 30,11
2021-05,61 to 80,2,<= 90,<5
2021-05,81 to 100,0,N/A,1209
2021-05,81 to 100,1,<= 30,185
2021-05,81 to 100,1,<= 90,11
2021-05,81 to 100,2,<= 30,27
2021-05,81 to 100,2,<= 90,<5
2021-06,0 to 20,0,N/A,94
2021-06,0 to 20,2,<= 30,<5
2021-06,100+,0,N/A,14
2021-06,100+,1,<= 30,<5
2021-06,100+,1,<= 90,<5
2021-06,100+,2,<= 30,<5
2021-06,21 to 40,0,N/A,77
2021-06,21 to 40,1,<= 90,<5
2021-06,21 to 40,2,<= 90,<5
2021-06,41 to 60,0,N/A,279
2021-06,41 to 60,1,<= 30,<5
2021-06,41 to 60,1,<= 90,<5
2021-06,41 to 60,2,<= 30,<5
2021-06,61 to 80,0,N/A,855
2021-06,61 to 80,1,<= 180,<5
2021-06,61 to 80,1,<= 30,111
2021-06,61 to 80,1,<= 90,22
2021-06,61 to 80,2,<= 180,<5
2021-06,61 to 80,2,<= 30,75
2021-06,61 to 80,2,<= 90,14
2021-06,81 to 100,0,N/A,901
2021-06,81 to 100,1,<= 30,258
2021-06,81 to 100,1,<= 90,50
2021-06,81 to 100,2,<= 30,212
2021-06,81 to 100,2,<= 90,41
2021-07,0 to 20,0,N/A,95
2021-07,0 to 20,2,<= 90,<5
2021-07,100+,0,N/A,7
2021-07,100+,1,<= 30,<5
2021-07,100+,2,<= 30,9
2021-07,100+,2,<= 90,7
2021-07,21 to 40,0,N/A,72
2021-07,21 to 40,1,<= 30,<5
2021-07,21 to 40,2,<= 30,<5
2021-07,41 to 60,0,N/A,274
2021-07,41 to 60,1,<= 30,11
2021-07,41 to 60,1,<= 90,<5
2021-07,41 to 60,2,<= 30,6
2021-07,41 to 60,2,<= 90,10
