"Age-specific death rates by sex, December years (total population) (Annual-Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Male","","","","","","","","","","","","","","","","","","","Female","","","","","","","","","","","","","","","","","",""
" ","0-4 Years","5-9 Years","10-14 Years","15-19 Years","20-24 Years","25-29 Years","30-34 Years","35-39 Years","40-44 Years","45-49 Years","50-54 Years","55-59 Years","60-64 Years","65-69 Years","70-74 Years","75-79 Years","80-84 Years","85-89 Years","90 Years and Over","0-4 Years","5-9 Years","10-14 Years","15-19 Years","20-24 Years","25-29 Years","30-34 Years","35-39 Years","40-44 Years","45-49 Years","50-54 Years","55-59 Years","60-64 Years","65-69 Years","70-74 Years","75-79 Years","80-84 Years","85-89 Years","90 Years and Over"
1971,4.72,0.51,0.43,1.37,1.51,1.26,1.42,2.18,3.54,5.39,9.58,16.21,25.95,40.22,60.45,93.86,151.50,218.10,310.56,3.89,0.27,0.28,0.53,0.60,0.68,1.16,1.44,2.29,3.99,5.48,8.32,12.72,19.61,32.80,57.72,100.12,178.61,266.56
1972,4.45,0.36,0.33,1.61,1.69,1.15,1.52,2.05,2.92,5.32,9.44,15.37,25.52,38.37,59.51,95.33,144.90,212.73,329.08,3.61,0.38,0.34,0.69,0.55,0.62,0.87,1.35,2.36,3.65,5.27,8.24,13.47,21.87,35.25,61.23,103.68,174.64,300.65
1973,4.63,0.51,0.48,1.75,1.90,1.39,1.32,2.13,3.29,5.99,9.25,17.11,24.49,40.91,61.36,93.01,140.86,224.46,354.29,3.33,0.33,0.21,0.66,0.55,0.56,1.02,1.59,2.08,3.46,5.31,8.29,13.02,20.92,33.75,58.89,100.63,173.54,305.25
1974,4.26,0.43,0.53,1.63,1.57,1.42,1.55,1.98,3.28,5.63,9.28,15.46,24.74,37.90,60.44,92.02,137.91,243.80,343.66,3.08,0.33,0.32,0.67,0.53,0.65,0.74,1.53,2.63,3.80,5.76,8.14,13.69,19.44,35.14,57.00,97.80,166.55,301.62
1975,4.31,0.60,0.40,1.53,1.59,1.28,1.35,2.04,3.16,5.88,9.42,14.60,25.26,37.09,59.48,86.54,132.96,237.88,352.14,3.23,0.32,0.28,0.49,0.61,0.73,0.99,1.45,2.11,3.23,5.34,7.74,13.29,18.63,33.72,52.24,92.14,163.22,302.48
1976,3.63,0.39,0.43,1.55,1.83,1.21,1.31,1.92,3.16,5.41,8.97,14.93,23.59,38.05,62.06,91.83,131.62,229.18,372.66,2.85,0.23,0.29,0.56,0.58,0.62,0.69,1.22,2.62,3.77,5.17,8.57,12.40,19.15,33.42,55.28,89.09,152.73,289.83
1977,4.01,0.40,0.47,1.85,2.11,1.68,1.55,1.98,3.36,5.63,8.99,14.86,23.62,37.42,59.93,92.49,136.23,212.97,377.10,2.69,0.41,0.29,0.73,0.70,0.75,0.91,1.26,2.57,3.85,5.49,7.83,12.83,19.86,33.04,52.92,86.81,151.89,286.97
1978,3.71,0.35,0.43,1.45,1.85,1.45,1.23,2.01,3.05,5.60,8.53,14.18,23.98,35.45,59.15,83.98,116.50,200.99,343.65,2.60,0.26,0.24,0.63,0.52,0.58,0.86,1.18,2.37,3.82,5.26,7.60,11.96,18.61,30.61,51.23,81.61,140.58,269.81
1979,3.56,0.34,0.39,1.48,1.65,1.35,1.41,1.78,2.98,5.37,8.96,14.11,23.62,35.81,57.75,90.56,133.05,185.31,359.83,2.55,0.29,0.25,0.52,0.64,0.71,0.60,1.24,1.85,3.34,4.98,7.65,12.30,19.31,32.39,51.36,82.64,140.00,284.76
