"Estimated Resident Population by Age and Sex (1991+) (Annual-Jun)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Mean year ended","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","0 Years","1 Years","2 Years","3 Years","4 Years","5 Years","6 Years","7 Years","8 Years","9 Years","10 Years","11 Years","12 Years","13 Years","14 Years","15 Years","16 Years","17 Years","18 Years","19 Years","20 Years","21 Years","22 Years","23 Years","24 Years","25 Years","26 Years","27 Years","28 Years","29 Years","30 Years","31 Years","32 Years","33 Years","34 Years","35 Years","36 Years","37 Years","38 Years","39 Years","40 Years","41 Years","42 Years","43 Years","44 Years","45 Years","46 Years","47 Years","48 Years","49 Years","50 Years","51 Years","52 Years","53 Years","54 Years","55 Years","56 Years","57 Years","58 Years","59 Years","60 Years","61 Years","62 Years","63 Years","64 Years","65 Years","66 Years","67 Years","68 Years","69 Years","70 Years","71 Years","72 Years","73 Years","74 Years","75 Years","76 Years","77 Years","78 Years","79 Years","80 Years","81 Years","82 Years","83 Years","84 Years","85 Years","86 Years","87 Years","88 Years","89 Years","90 Years","91 Years","92 Years","93 Years","94 Years","95 Years and Over","0 Years","1 Years","2 Years","3 Years","4 Years","5 Years","6 Years","7 Years","8 Years","9 Years","10 Years","11 Years","12 Years","13 Years","14 Years","15 Years","16 Years","17 Years","18 Years","19 Years","20 Years","21 Years","22 Years","23 Years","24 Years","25 Years","26 Years","27 Years","28 Years","29 Years","30 Years","31 Years","32 Years","33 Years","34 Years","35 Years","36 Years","37 Years","38 Years","39 Years","40 Years","41 Years","42 Years","43 Years","44 Years","45 Years","46 Years","47 Years","48 Years","49 Years","50 Years","51 Years","52 Years","53 Years","54 Years","55 Years","56 Years","57 Years","58 Years","59 Years","60 Years","61 Years","62 Years","63 Years","64 Years","65 Years","66 Years","67 Years","68 Years","69 Years","70 Years","71 Years","72 Years","73 Years","74 Years","75 Years","76 Years","77 Years","78 Years","79 Years","80 Years","81 Years","82 Years","83 Years","84 Years","85 Years","86 Years","87 Years","88 Years","89 Years","90 Years","91 Years","92 Years","93 Years","94 Years","95 Years and Over","0 Years","1 Years","2 Years","3 Years","4 Years","5 Years","6 Years","7 Years","8 Years","9 Years","10 Years","11 Years","12 Years","13 Years","14 Years","15 Years","16 Years","17 Years","18 Years","19 Years","20 Years","21 Years","22 Years","23 Years","24 Years","25 Years","26 Years","27 Years","28 Years","29 Years","30 Years","31 Years","32 Years","33 Years","34 Years","35 Years","36 Years","37 Years","38 Years","39 Years","40 Years","41 Years","42 Years","43 Years","44 Years","45 Years","46 Years","47 Years","48 Years","49 Years","50 Years","51 Years","52 Years","53 Years","54 Years","55 Years","56 Years","57 Years","58 Years","59 Years","60 Years","61 Years","62 Years","63 Years","64 Years","65 Years","66 Years","67 Years","68 Years","69 Years","70 Years","71 Years","72 Years","73 Years","74 Years","75 Years","76 Years","77 Years","78 Years","79 Years","80 Years","81 Years","82 Years","83 Years","84 Years","85 Years","86 Years","87 Years","88 Years","89 Years","90 Years","91 Years","92 Years","93 Years","94 Years","95 Years and Over"
1991,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
1992,31130,30660,29790,29170,28360,27210,27020,26750,26450,26380,26720,26960,26560,25830,26270,27120,27390,28480,29300,30090,30650,29730,29170,28110,26780,26450,26630,27410,28650,29140,29280,28850,28430,27660,26940,26780,25860,25510,24750,24660,24350,24320,24410,24520,24480,22850,20600,19480,18270,18470,19150,18600,16860,16000,15380,14890,14360,14360,14100,14400,14770,14920,14630,14510,14200,13880,13310,12570,11910,11400,10860,10500,8600,7980,7620,7560,6820,6570,5950,5300,4620,4060,3440,2990,2510,2110,1690,1360,1070,890,660,500,350,240,180,320,29270,29410,28550,27860,26700,26090,25870,25400,25010,24790,25310,25400,25550,25110,25550,26510,27150,28440,29320,30340,30920,30000,29100,28260,27800,27210,27270,28420,29860,30650,30700,29980,29250,28530,27730,27290,26730,26190,25410,25040,24510,24670,24290,24630,24820,22920,20840,19370,18130,18530,19160,18490,17030,16090,15500,15120,14190,14190,14180,14280,14580,14900,14590,14490,14180,14180,14050,13870,13360,13470,13110,13130,11100,10620,10500,10400,9690,9630,8830,8370,7270,6740,6260,5630,4690,4230,3670,3060,2590,2090,1760,1390,990,830,630,1520,60400,60070,58330,57030,55060,53300,52890,52150,51460,51180,52030,52360,52110,50940,51830,53630,54530,56920,58610,60430,61570,59730,58280,56380,54580,53660,53910,55840,58520,59790,59980,58830,57670,56190,54670,54070,52590,51700,50160,49700,48860,49000,48700,49160,49300,45770,41440,38860,36400,37000,38310,37080,33890,32090,30880,30010,28550,28550,28280,28680,29350,29820,29220,28990,28390,28060,27360,26440,25280,24860,23970,23630,19700,18600,18120,17960,16510,16210,14780,13670,11890,10800,9700,8620,7200,6340,5360,4410,3660,2980,2420,1890,1340,1070,810,1840
1993,30270,31080,30680,29780,29200,28420,27240,27060,26800,26500,26450,26800,27040,26660,25950,26390,27260,27470,28500,29310,30020,30290,29220,28730,27830,26610,26400,26710,27600,28910,29360,29440,28960,28520,27750,27030,26870,25930,25600,24840,24740,24430,24420,24480,24580,24540,22870,20590,19460,18230,18450,19100,18540,16810,15930,15300,14790,14230,14230,13970,14240,14600,14720,14380,14230,13890,13530,12990,12180,11540,11010,10440,10090,8220,7580,7210,7120,6370,6120,5470,4830,4180,3640,3020,2610,2180,1840,1390,1120,880,700,540,380,270,190,340,28230,29230,29440,28580,27910,26750,26120,25900,25430,25060,24850,25380,25470,25640,25190,25690,26680,27220,28470,29300,30160,30500,29500,28750,28070,27730,27340,27460,28620,30060,30830,30850,30080,29320,28580,27780,27370,26800,26240,25480,25120,24560,24700,24320,24630,24810,22900,20780,19330,18090,18470,19100,18430,16980,16040,15440,15060,14120,14100,14070,14200,14470,14760,14440,14340,14000,13990,13860,13670,13120,13190,12840,12840,10810,10330,10170,10040,9340,9240,8440,7930,6840,6290,5800,5170,4260,3800,3250,2690,2240,1770,1460,1150,810,670,1580,58500,60300,60120,58350,57110,55170,53370,52960,52230,51560,51290,52180,52510,52300,51150,52080,53940,54690,56970,58600,60170,60790,58730,57470,55900,54340,53740,54170,56230,58970,60180,60290,59040,57840,56330,54810,54240,52740,51840,50330,49860,48980,49120,48800,49210,49350,45760,41370,38790,36320,36920,38200,36970,33790,31970,30740,29850,28350,28330,28040,28440,29070,29480,28830,28570,27890,27520,26850,25850,24660,24200,23270,22930,19030,17910,17380,17160,15710,15360,13910,12760,11020,9930,8830,7780,6430,5640,4650,3810,3120,2460,2000,1530,1070,850,1920
1994,30020,30350,31230,30830,29900,29340,28580,27390,27210,26970,26680,26620,26980,27240,26890,26190,26620,27420,27560,28570,29230,29710,29790,28780,28390,27650,26570,26460,26930,27980,29280,29600,29590,29120,28730,27950,27220,27020,26090,25750,24990,24860,24540,24530,24600,24700,24640,22920,20580,19450,18220,18420,19030,18470,16740,15840,15210,14680,14120,14120,13820,14100,14420,14520,14160,13960,13560,13200,12640,11810,11140,10610,10040,9650,7830,7160,6780,6670,5920,5660,5010,4410,3790,3230,2640,2250,1870,1560,1160,930,730,560,420,280,200,360,28200,28320,29330,29550,28710,28060,26860,26230,26030,25560,25210,25020,25550,25650,25830,25410,25940,26850,27300,28520,29190,29800,29990,29140,28640,28150,27940,27670,27830,29000,30370,31120,31100,30300,29520,28770,27950,27550,27010,26420,25650,25240,24680,24800,24410,24700,24830,22890,20790,19330,18050,18430,19050,18390,16890,15950,15370,15000,14040,14010,13980,14100,14340,14610,14300,14170,13820,13780,13650,13450,12880,12940,12550,12530,10490,10000,9830,9680,8940,8830,7980,7460,6420,5830,5330,4720,3810,3380,2870,2340,1910,1480,1210,940,650,1670,58210,58680,60570,60380,58610,57400,55440,53620,53240,52530,51880,51640,52520,52880,52730,51600,52570,54270,54860,57090,58420,59500,59780,57920,57030,55800,54510,54130,54760,56980,59650,60720,60690,59420,58250,56720,55170,54570,53090,52180,50630,50100,49220,49330,49010,49400,49470,45810,41380,38780,36280,36840,38080,36860,33630,31790,30580,29670,28160,28130,27790,28200,28760,29130,28460,28130,27390,26980,26290,25260,24020,23550,22590,22180,18320,17160,16620,16350,14860,14490,12980,11880,10210,9060,7980,6960,5680,4940,4030,3280,2630,2040,1630,1230,850,2030
1995,29620,30170,30560,31440,31080,30140,29560,28810,27620,27460,27190,26910,26880,27260,27520,27200,26530,26880,27600,27730,28570,28900,29150,29270,28400,28110,27550,26670,26710,27360,28470,29690,29880,29820,29390,29030,28210,27440,27230,26350,26030,25200,25050,24740,24700,24800,24830,24760,23020,20630,19480,18210,18350,18960,18400,16670,15740,15080,14570,14000,13980,13670,13930,14220,14280,13860,13630,13220,12850,12270,11430,10780,10190,9620,9200,7420,6760,6360,6220,5490,5160,4560,4000,3410,2830,2300,1920,1580,1290,970,750,560,430,330,210,390,27980,28330,28510,29530,29780,28950,28260,27060,26440,26230,25770,25440,25240,25780,25920,26110,25720,26180,26960,27360,28490,28900,29320,29590,28920,28630,28380,28340,28150,28320,29510,30820,31470,31410,30630,29840,29060,28240,27840,27270,26670,25870,25440,24860,24980,24550,24780,24870,22920,20780,19310,18020,18370,18990,18320,16810,15890,15310,14920,13970,13900,13870,13990,14210,14460,14130,13990,13630,13590,13460,13200,12620,12640,12240,12190,10160,9670,9480,9310,8530,8380,7530,6980,5960,5390,4870,4240,3390,2960,2480,2000,1590,1210,980,740,1700,57600,58500,59070,60970,60850,59090,57820,55870,54050,53690,52960,52360,52130,53040,53440,53310,52250,53070,54560,55090,57060,57790,58470,58870,57320,56740,55920,55000,54860,55670,57980,60520,61350,61240,60010,58860,57270,55680,55060,53620,52700,51080,50500,49600,49690,49350,49610,49630,45930,41420,38790,36240,36720,37950,36720,33470,31630,30390,29490,27970,27880,27540,27920,28430,28740,27990,27630,26850,26440,25730,24630,23400,22820,21860,21390,17590,16430,15840,15530,14020,13540,12080,10980,9360,8220,7170,6150,4970,4250,3460,2760,2150,1650,1310,960,2080
1996,29810,29860,30470,30900,31780,31450,30490,29920,29160,27950,27800,27520,27250,27230,27610,27910,27610,26890,27140,27770,27780,28300,28330,28600,28780,28080,28010,27660,27050,27280,28030,29030,30150,30340,30290,29900,29430,28520,27780,27570,26730,26350,25470,25320,25000,24940,24980,24970,24880,23100,20680,19500,18200,18310,18870,18330,16580,15620,14970,14430,13840,13820,13500,13710,13990,13990,13560,13300,12860,12480,11860,11030,10380,9750,9180,8710,7010,6330,5940,5740,5040,4710,4110,3600,3040,2460,1970,1600,1320,1070,780,580,440,330,240,400,27890,28160,28590,28790,29790,30070,29250,28540,27370,26700,26490,26050,25760,25540,26080,26250,26490,26050,26330,27050,27390,28260,28440,28880,29360,28880,28890,28870,28900,28810,29020,30110,31370,32010,31900,31060,30230,29420,28600,28180,27600,26970,26130,25660,25030,25140,24680,24840,24930,22920,20750,19260,17970,18310,18930,18250,16730,15810,15240,14830,13870,13800,13750,13870,14050,14270,13940,13800,13430,13380,13220,12930,12330,12320,11910,11820,9840,9310,9110,8920,8110,7940,7040,6490,5470,4910,4390,3790,3000,2570,2100,1660,1330,970,760,1750,57700,58020,59060,59680,61580,61520,59750,58460,56530,54660,54290,53570,53010,52780,53700,54160,54100,52940,53470,54820,55170,56560,56780,57480,58150,56970,56910,56530,55940,56090,57040,59140,61520,62350,62190,60960,59660,57940,56380,55760,54320,53320,51600,50980,50030,50080,49650,49810,49810,46020,41430,38760,36170,36630,37800,36580,33300,31440,30210,29260,27710,27620,27250,27580,28040,28260,27500,27100,26290,25850,25080,23960,22710,22070,21090,20530,16850,15640,15050,14660,13150,12650,11150,10090,8510,7370,6360,5390,4320,3640,2880,2250,1770,1300,1000,2150
