year_reg,month_reg,ethnicity,sex,age_group,count
2021,1,Total,Female,00_00,9
2021,1,Total,Female,01_04,3
2021,1,Total,Female,10_14,3
2021,1,Total,Female,15_19,6
2021,1,Total,Female,20_24,3
2021,1,Total,Female,25_29,3
2021,1,Total,Female,30_34,6
2021,1,Total,Female,35_39,12
2021,1,Total,Female,40_44,15
2021,1,Total,Female,45_49,18
2021,1,Total,Female,50_54,30
2021,1,Total,Female,55_59,48
2021,1,Total,Female,60_64,69
2021,1,Total,Female,65_69,78
2021,1,Total,Female,70_74,132
2021,1,Total,Female,75_79,150
2021,1,Total,Female,80_84,216
2021,1,Total,Female,85_89,249
2021,1,Total,Female,90_94,225
2021,1,Total,Female,95_,117
2021,1,Total,Male,00_00,15
2021,1,Total,Male,15_19,12
2021,1,Total,Male,20_24,15
2021,1,Total,Male,25_29,12
2021,1,Total,Male,30_34,12
2021,1,Total,Male,35_39,15
2021,1,Total,Male,40_44,21
2021,1,Total,Male,45_49,27
2021,1,Total,Male,50_54,48
2021,1,Total,Male,55_59,69
2021,1,Total,Male,60_64,90
2021,1,Total,Male,65_69,117
2021,1,Total,Male,70_74,180
2021,1,Total,Male,75_79,183
2021,1,Total,Male,80_84,207
2021,1,Total,Male,85_89,228
2021,1,Total,Male,90_94,141
2021,1,Total,Male,95_,54
2021,2,Total,Female,00_00,9
2021,2,Total,Female,05_09,3
2021,2,Total,Female,10_14,3
2021,2,Total,Female,15_19,3
2021,2,Total,Female,25_29,6
2021,2,Total,Female,30_34,3
2021,2,Total,Female,35_39,9
2021,2,Total,Female,40_44,12
2021,2,Total,Female,45_49,21
2021,2,Total,Female,50_54,30
2021,2,Total,Female,55_59,45
2021,2,Total,Female,60_64,63
2021,2,Total,Female,65_69,96
2021,2,Total,Female,70_74,111
2021,2,Total,Female,75_79,111
2021,2,Total,Female,80_84,195
2021,2,Total,Female,85_89,189
2021,2,Total,Female,90_94,198
2021,2,Total,Female,95_,114
2021,2,Total,Male,00_00,12
2021,2,Total,Male,05_09,3
2021,2,Total,Male,10_14,3
2021,2,Total,Male,15_19,3
2021,2,Total,Male,20_24,9
2021,2,Total,Male,25_29,9
2021,2,Total,Male,30_34,12
2021,2,Total,Male,35_39,15
2021,2,Total,Male,40_44,21
2021,2,Total,Male,45_49,27
2021,2,Total,Male,50_54,48
2021,2,Total,Male,55_59,57
2021,2,Total,Male,60_64,90
2021,2,Total,Male,65_69,96
2021,2,Total,Male,70_74,156
2021,2,Total,Male,75_79,162
2021,2,Total,Male,80_84,180
2021,2,Total,Male,85_89,195
2021,2,Total,Male,90_94,129
2021,2,Total,Male,95_,51
2021,3,Total,Female,00_00,6
2021,3,Total,Female,01_04,3
2021,3,Total,Female,20_24,9
2021,3,Total,Female,25_29,9
2021,3,Total,Female,30_34,3
2021,3,Total,Female,35_39,9
2021,3,Total,Female,40_44,15
2021,3,Total,Female,45_49,18
2021,3,Total,Female,50_54,42
2021,3,Total,Female,55_59,45
2021,3,Total,Female,60_64,81
2021,3,Total,Female,65_69,84
2021,3,Total,Female,70_74,123
2021,3,Total,Female,75_79,156
2021,3,Total,Female,80_84,213
