"Live births by age of mother (Annual-Sep)",""
"","Total all ages"
1981,51150
1982,49563
1983,50436
1984,50766
1985,52293
1986,52794
1987,54204
1988,57588
1989,57504
1990,59427
1991,60474
1992,59514
1993,58773
1994,57573
1995,57744
1996,57207
1997,57192
1998,56154
1999,56169
2000,57486
2001,55860
2002,54012
2003,55212
2004,58380
2005,57615
2006,59115
2007,62364
2008,64539
2009,63159
2010,63732
2011,62262
2012,60462
2013,59646
2014,57837
2015,60558
2016,59217
2017,58491
2018,59331
2019,59088
2020,57753
2021,59382
2022,58749
2023,56940
"Table information:"
"Units:"
"Number, Magnitude = Units"
""
"Footnotes:"
"Births exclude late registrations under section 16 of the Births, Deaths, Marriages, and Relationships Registration Act 1995."
"Births and deaths data are based on date of registration (not date of occurrence). Data before 1991 includes New Zealand residents and overseas visitors. Data from 1991 includes New Zealand residents only."
"Data has been randomly rounded to protect confidentiality. Individual figures may not add up to totals, and values for the same data may vary in different tables."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"VSB003AA"
""
"Last updated:"
"16 November 2023 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
