"Live births by age of mother (Annual-Dec)",""
"","Total all ages"
1962,65016
1963,64527
1964,62304
1965,60048
1966,60003
1967,61023
1968,62112
1969,62361
1970,62049
1971,64461
1972,63213
1973,60729
1974,59337
1975,56637
1976,55107
1977,54180
1978,51027
1979,52278
1980,50541
1981,50793
1982,49938
1983,50472
1984,51636
1985,51798
1986,52824
1987,55254
1988,57546
1989,58092
1990,60153
1991,59910
1992,59166
1993,58782
1994,57321
1995,57672
1996,57279
1997,57606
1998,55347
1999,57054
2000,56607
2001,55800
2002,54021
2003,56136
2004,58074
2005,57747
2006,59193
2007,64044
2008,64341
2009,62541
2010,63897
2011,61401
2012,61176
2013,58716
2014,57243
2015,61038
2016,59427
2017,59610
2018,58020
2019,59637
2020,57576
2021,58659
2022,58887
"Table information:"
"Units:"
"Number, Magnitude = Units"
""
"Footnotes:"
"Births exclude late registrations under section 16 of the Births, Deaths, Marriages, and Relationships Registration Act 1995."
"Births and deaths data are based on date of registration (not date of occurrence). Data before 1991 includes New Zealand residents and overseas visitors. Data from 1991 includes New Zealand residents only."
"Data has been randomly rounded to protect confidentiality. Individual figures may not add up to totals, and values for the same data may vary in different tables."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"VSB004AA"
""
"Last updated:"
"20 February 2023 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
