"Deaths by age and sex (Annual-Sep)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Less than 1 year","1 year","2 years","3 years","4 years","5 years","6 years","7 years","8 years","9 years","10 years","11 years","12 years","13 years","14 years","15 years","16 years","17 years","18 years","19 years","20 years","21 years","22 years","23 years","24 years","25 years","26 years","27 years","28 years","29 years","30 years","31 years","32 years","33 years","34 years","35 years","36 years","37 years","38 years","39 years","40 years","41 years","42 years","43 years","44 years","45 years","46 years","47 years","48 years","49 years","50 years","51 years","52 years","53 years","54 years","55 years","56 years","57 years","58 years","59 years","60 years","61 years","62 years","63 years","64 years","65 years","66 years","67 years","68 years","69 years","70 years","71 years","72 years","73 years","74 years","75 years","76 years","77 years","78 years","79 years","80 years","81 years","82 years","83 years","84 years","85 years","86 years","87 years","88 years","89 years","90 years","91 years","92 years","93 years","94 years","95 years","96 years","97 years","98 years","99 years","100 years and over","Less than 1 year","1 year","2 years","3 years","4 years","5 years","6 years","7 years","8 years","9 years","10 years","11 years","12 years","13 years","14 years","15 years","16 years","17 years","18 years","19 years","20 years","21 years","22 years","23 years","24 years","25 years","26 years","27 years","28 years","29 years","30 years","31 years","32 years","33 years","34 years","35 years","36 years","37 years","38 years","39 years","40 years","41 years","42 years","43 years","44 years","45 years","46 years","47 years","48 years","49 years","50 years","51 years","52 years","53 years","54 years","55 years","56 years","57 years","58 years","59 years","60 years","61 years","62 years","63 years","64 years","65 years","66 years","67 years","68 years","69 years","70 years","71 years","72 years","73 years","74 years","75 years","76 years","77 years","78 years","79 years","80 years","81 years","82 years","83 years","84 years","85 years","86 years","87 years","88 years","89 years","90 years","91 years","92 years","93 years","94 years","95 years","96 years","97 years","98 years","99 years","100 years and over"
1999,195,18,6,9,9,6,3,6,6,6,6,9,6,9,12,12,30,24,39,27,36,39,33,36,33,42,33,36,36,33,30,27,33,30,42,36,36,48,48,51,30,45,54,54,63,54,75,75,81,69,75,93,120,108,105,135,132,120,156,195,156,183,195,219,243,240,243,282,282,306,360,363,402,453,414,462,474,456,507,465,417,399,444,417,372,360,357,330,249,264,219,165,153,96,75,66,42,39,15,18,27,114,9,12,9,9,6,0,6,3,3,3,6,3,3,15,12,18,18,12,24,9,12,12,18,12,12,12,15,3,18,18,21,12,21,27,27,24,21,27,33,39,39,39,45,51,42,51,45,51,63,69,63,87,63,87,90,96,84,105,108,96,111,129,138,126,168,177,171,207,231,222,267,258,264,324,357,348,372,408,387,366,435,459,453,510,555,555,444,480,411,432,366,333,255,222,195,141,99,81,51,147
2000,192,15,15,18,9,3,3,6,0,6,3,3,12,9,15,15,21,27,30,30,30,27,33,27,33,39,27,30,36,30,33,30,39,39,39,39,33,42,45,36,60,54,48,54,63,57,75,84,60,87,93,90,105,105,114,108,129,129,123,168,156,183,153,171,195,195,231,276,327,324,327,369,384,396,390,405,444,480,447,477,444,375,420,390,384,381,345,306,285,249,192,159,123,108,84,54,45,30,24,15,15,159,9,12,6,6,3,6,9,6,3,6,6,3,0,6,6,9,12,6,18,6,9,12,9,9,12,18,15,12,12,15,12,15,15,12,15,18,21,27,30,24,51,30,36,42,36,36,51,60,51,63,75,78,75,87,81,90,90,105,111,132,129,120,117,135,141,126,168,183,213,225,228,243,285,273,276,294,348,399,417,402,390,432,456,468,495,468,456,450,423,396,354,297,258,219,159,147,105,81,60,123
2001,171,21,12,3,3,6,3,9,6,3,6,6,6,9,12,12,27,36,27,24,36,27,36,24,30,21,27,27,24,39,33,36,39,36,42,36,27,45,45,39,48,42,42,63,51,63,54,66,75,90,84,99,111,120,102,105,126,111,126,159,162,165,204,183,195,228,198,258,258,318,342,381,399,387,450,447,429,438,447,519,468,426,384,399,375,378,366,363,312,264,237,192,150,135,102,57,45,33,30,9,18,123,15,9,3,3,6,3,6,6,3,3,0,0,3,6,9,9,18,6,9,6,9,12,6,9,6,12,15,15,9,12,12,30,15,18,18,18,18,24,24,21,39,36,33,36,45,42,51,57,66,60,60,81,72,90,75,72,87,123,105,117,129,144,144,138,129,165,165,183,210,210,204,213,285,282,327,303,369,372,423,459,468,423,453,507,546,510,516,522,462,384,399,348,330,231,201,156,117,96,63,114
2002,168,24,3,9,9,0,6,6,3,3,3,6,6,12,6,12,18,27,42,33,30,33,36,27,24,30,30,21,21,39,33,36,27,33,33,33,42,42,42,42,66,51,42,60,60,57,66,63,63,81,93,90,102,102,123,141,114,129,153,177,153,177,201,210,207,201,228,234,273,285,318,354,375,378,435,396,447,477,489,432,465,462,435,402,381,393,375,363,351,285,240,195,132,138,99,81,54,36,18,15,24,135,15,6,3,6,6,6,3,3,3,3,6,3,3,6,3,12,18,21,9,12,6,12,15,15,6,15,12,21,15,18,18,12,18,21,27,21,21,27,30,33,33,42,33,36,48,36,48,39,63,57,66,78,87,81,84,90,102,90,90,123,141,138,132,114,156,147,159,159,168,198,240,273,270,270,312,354,384,384,420,435,483,450,432,537,525,513,567,543,450,453,405,399,300,264,216,210,129,108,63,126
2003,156,15,6,3,6,6,3,12,0,3,3,9,3,6,9,12,24,27,27,24,27,27,27,18,21,30,24,27,27,21,27,24,39,39,42,36,39,39,42,45,54,63,54,63,51,72,66,75,57,84,63,96,105,114,129,135,138,126,117,159,147,180,174,183,231,228,192,243,261,291,306,351,339,384,405,372,459,450,447,447,480,447,477,429,375,360,372,330,333,291,240,204,162,132,99,72,51,36,27,21,24,129,24,6,9,6,3,3,0,6,3,3,6,0,6,6,6,12,9,15,18,18,12,12,6,12,12,3,6,15,12,15,18,15,12,27,24,24,24,27,30,39,24,39,36,45,48,51,51,63,60,51,54,69,90,69,132,90,90,96,120,99,96,138,147,138,147,150,180,174,180,225,228,249,270,285,294,306,360,393,399,444,483,507,471,468,519,549,513,525,519,480,429,375,336,312,225,189,108,99,69,135
2004,171,12,15,12,3,3,3,3,3,9,3,3,9,6,18,18,18,36,33,33,33,27,27,30,27,30,12,24,27,36,33,24,27,24,33,42,39,39,39,45,51,45,45,51,57,66,75,78,78,78,90,78,93,114,117,117,141,141,132,159,141,174,189,201,180,180,240,249,237,252,276,306,327,369,357,438,444,444,501,480,513,450,498,486,456,369,345,318,312,291,249,216,159,150,99,75,63,24,27,21,27,138,15,9,0,6,3,0,6,3,0,0,0,6,6,0,9,15,15,21,9,9,12,9,12,6,9,9,12,12,9,12,18,18,15,21,18,24,21,21,30,27,30,36,45,48,39,54,66,54,54,63,69,78,93,87,81,96,99,102,105,117,111,135,129,144,126,141,147,192,186,189,201,228,267,255,291,330,321,354,363,384,453,465,558,519,525,474,579,516,543,507,456,387,348,297,207,156,144,111,75,147
2005,177,15,6,3,9,6,3,6,3,6,3,6,6,9,12,15,33,24,36,27,27,39,27,33,33,33,24,24,24,24,24,18,33,36,21,36,45,45,45,42,42,57,66,57,69,69,60,66,81,75,93,90,81,105,120,132,138,150,138,165,150,171,165,177,231,234,240,210,261,234,267,291,321,327,414,357,393,417,441,477,477,474,486,441,432,390,342,312,348,279,267,192,180,129,99,63,57,36,30,18,21,147,18,6,6,3,6,9,3,6,6,0,3,6,3,12,12,12,18,15,6,6,9,21,9,6,6,15,6,6,9,9,15,24,18,21,30,27,24,27,27,36,30,30,39,54,60,48,60,72,60,66,63,75,75,72,84,90,96,99,120,105,123,135,141,147,171,123,153,183,156,168,186,225,240,270,273,303,354,357,384,459,468,513,513,549,513,504,504,513,477,489,474,402,339,267,222,174,153,111,78,135
2006,171,15,9,6,6,6,3,3,0,6,3,3,6,6,3,15,24,27,39,39,33,18,30,24,24,21,30,27,27,24,21,24,39,30,30,30,36,42,33,42,48,48,42,54,63,66,60,78,90,84,93,111,90,96,105,135,132,153,147,150,180,156,189,189,207,225,246,216,246,246,231,276,306,354,330,372,435,438,435,453,483,477,450,471,453,477,360,354,300,306,264,237,192,159,105,72,57,36,27,21,33,114,9,6,9,3,3,3,3,0,0,3,3,6,3,3,9,12,18,15,9,15,6,9,12,9,9,18,9,9,6,12,9,21,12,15,21,27,21,30,21,33,27,39,42,42,48,60,51,63,57,72,75,78,69,81,90,96,96,132,117,120,93,129,105,141,168,135,174,159,186,183,189,219,258,273,270,306,345,366,408,423,453,480,513,519,603,546,483,531,495,549,456,423,378,321,255,222,174,111,87,159
