"Deaths by age and sex (Annual-Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Less than 1 year","1 year","2 years","3 years","4 years","5 years","6 years","7 years","8 years","9 years","10 years","11 years","12 years","13 years","14 years","15 years","16 years","17 years","18 years","19 years","20 years","21 years","22 years","23 years","24 years","25 years","26 years","27 years","28 years","29 years","30 years","31 years","32 years","33 years","34 years","35 years","36 years","37 years","38 years","39 years","40 years","41 years","42 years","43 years","44 years","45 years","46 years","47 years","48 years","49 years","50 years","51 years","52 years","53 years","54 years","55 years","56 years","57 years","58 years","59 years","60 years","61 years","62 years","63 years","64 years","65 years","66 years","67 years","68 years","69 years","70 years","71 years","72 years","73 years","74 years","75 years","76 years","77 years","78 years","79 years","80 years","81 years","82 years","83 years","84 years","85 years","86 years","87 years","88 years","89 years","90 years","91 years","92 years","93 years","94 years","95 years","96 years","97 years","98 years","99 years","100 years and over","Less than 1 year","1 year","2 years","3 years","4 years","5 years","6 years","7 years","8 years","9 years","10 years","11 years","12 years","13 years","14 years","15 years","16 years","17 years","18 years","19 years","20 years","21 years","22 years","23 years","24 years","25 years","26 years","27 years","28 years","29 years","30 years","31 years","32 years","33 years","34 years","35 years","36 years","37 years","38 years","39 years","40 years","41 years","42 years","43 years","44 years","45 years","46 years","47 years","48 years","49 years","50 years","51 years","52 years","53 years","54 years","55 years","56 years","57 years","58 years","59 years","60 years","61 years","62 years","63 years","64 years","65 years","66 years","67 years","68 years","69 years","70 years","71 years","72 years","73 years","74 years","75 years","76 years","77 years","78 years","79 years","80 years","81 years","82 years","83 years","84 years","85 years","86 years","87 years","88 years","89 years","90 years","91 years","92 years","93 years","94 years","95 years","96 years","97 years","98 years","99 years","100 years and over"
1999,189,18,6,12,9,6,3,6,3,3,3,9,3,9,15,12,21,24,42,30,36,33,30,33,27,45,36,36,33,33,33,27,33,36,42,36,45,45,45,48,36,51,42,54,69,54,72,84,78,75,87,96,123,108,108,129,129,141,156,186,150,189,186,204,252,213,249,270,285,309,342,360,408,444,432,465,483,465,501,468,390,417,459,429,366,375,348,333,255,261,213,162,156,105,84,60,45,30,24,15,27,126,6,9,6,6,3,3,3,6,3,3,3,3,3,15,12,15,12,9,27,9,9,15,15,9,12,12,12,9,15,18,18,12,18,21,21,24,27,30,27,39,39,33,42,42,36,48,45,54,66,66,66,87,60,78,87,99,84,111,102,111,129,138,135,129,174,156,162,204,222,216,270,279,267,321,339,348,372,399,432,387,435,447,465,522,549,552,465,516,420,444,375,351,273,225,189,156,99,90,60,141
2000,189,15,15,15,9,6,0,3,3,3,6,6,9,9,15,15,21,30,30,27,30,24,30,30,36,39,27,30,36,36,39,30,45,36,39,42,27,45,45,39,54,48,51,54,54,60,72,84,63,81,93,87,96,114,111,108,135,120,123,171,153,183,165,183,168,207,213,267,312,336,333,381,384,384,390,411,444,468,474,504,504,357,402,375,396,369,360,291,288,249,210,168,114,114,90,51,48,33,30,18,15,156,12,15,3,6,3,6,9,6,6,6,6,3,0,6,6,6,15,6,12,9,6,9,9,9,12,21,15,12,12,15,12,18,18,12,15,21,21,27,27,21,51,30,33,45,42,36,60,57,63,66,66,78,72,90,75,87,96,108,108,114,114,129,120,126,132,135,168,186,198,213,231,216,282,279,297,276,366,402,402,435,378,417,462,456,492,477,468,444,423,393,378,279,258,219,177,141,93,78,63,123
2001,174,18,12,6,3,3,6,6,3,0,3,9,9,6,12,12,27,30,27,33,27,36,39,27,30,18,27,30,21,36,33,33,36,39,45,36,30,45,42,39,54,42,39,69,63,51,48,63,69,81,81,102,102,114,105,114,123,114,129,156,165,159,207,195,204,234,204,261,276,297,351,381,408,390,459,450,417,429,411,486,426,435,390,423,369,378,375,372,315,276,234,198,168,132,102,66,45,33,24,12,24,120,18,9,3,6,9,6,6,3,3,3,6,3,6,6,6,9,18,12,12,6,12,15,9,12,6,12,15,12,15,12,18,27,12,18,18,21,24,30,21,24,39,36,33,39,42,48,51,54,51,63,66,81,87,87,75,84,72,105,102,123,129,141,150,138,138,159,162,180,204,210,192,231,294,282,312,336,360,375,423,441,510,432,453,537,549,531,525,534,471,390,396,378,315,255,192,165,129,105,69,117
2002,153,27,0,6,9,3,9,9,3,3,3,6,6,9,12,15,15,24,39,27,30,27,33,21,24,36,27,18,24,36,27,36,27,36,33,27,48,39,48,42,63,45,51,60,48,72,72,60,60,84,75,96,117,99,126,141,117,126,144,162,156,183,189,195,204,210,237,249,261,279,294,348,360,381,432,384,450,489,492,438,486,471,447,369,381,408,363,357,360,276,231,195,129,144,93,84,54,39,21,15,30,147,21,6,3,3,6,6,3,9,3,3,6,0,6,3,3,12,12,15,12,12,9,9,15,9,9,9,12,24,15,21,15,12,18,27,30,18,15,24,33,36,27,48,30,33,54,36,54,48,60,45,57,72,87,81,99,81,108,108,99,117,138,144,126,111,144,153,165,168,177,201,249,270,273,267,318,327,390,384,414,429,468,468,423,519,519,507,573,549,468,468,417,396,324,267,219,210,126,96,48,138
2003,165,12,12,6,6,3,0,9,3,6,0,9,9,9,12,12,30,33,36,30,33,27,27,21,24,27,21,24,27,27,33,24,39,36,39,39,39,39,36,48,63,63,54,51,51,69,69,78,63,84,81,84,96,123,129,126,138,135,123,171,141,180,183,192,219,213,195,237,261,279,321,342,342,372,378,402,471,447,465,447,489,462,489,465,390,345,372,336,327,294,249,201,171,126,102,69,57,27,24,18,18,111,18,6,6,9,3,6,3,3,0,3,3,3,6,3,9,18,15,18,18,18,15,9,6,9,15,6,12,12,12,15,18,18,12,21,27,24,24,21,36,36,27,36,42,51,48,51,51,57,60,57,63,81,96,81,111,84,87,90,123,99,96,138,132,156,144,153,183,174,180,213,219,255,264,270,276,324,348,396,384,438,483,495,492,441,522,531,504,507,525,477,420,360,348,312,222,183,120,111,75,132
2004,168,15,9,9,6,3,3,3,0,6,0,3,9,3,18,18,24,30,33,27,27,36,24,30,27,27,15,24,27,33,30,18,30,21,24,39,42,42,42,42,42,51,39,57,63,69,72,78,84,81,90,84,90,105,114,123,138,135,120,162,147,159,192,204,189,192,240,246,252,276,273,315,315,369,396,399,441,429,504,483,510,456,498,486,453,387,354,330,327,297,270,210,171,150,96,81,63,36,30,21,30,153,12,6,3,6,3,6,3,3,0,0,3,3,6,6,9,12,15,21,9,9,9,15,15,6,6,12,6,12,9,12,18,18,18,24,24,27,27,21,27,27,33,33,42,54,42,48,69,66,54,66,75,78,90,81,93,99,102,96,111,117,123,132,141,141,144,135,144,189,201,192,213,237,270,276,300,324,333,375,375,399,468,486,546,558,540,498,594,534,537,504,465,411,327,312,219,171,144,117,75,135
2005,171,15,9,3,6,6,0,6,3,6,3,6,3,12,9,12,30,30,39,33,24,33,33,33,33,30,27,24,24,18,21,18,33,39,27,36,33,45,39,42,48,57,63,63,69,63,63,66,84,78,93,102,81,102,120,138,129,150,150,159,153,183,159,171,213,237,231,198,246,216,246,267,309,318,363,369,375,417,414,471,465,465,468,435,444,408,312,297,324,282,246,213,168,132,108,60,54,27,27,24,18,123,15,6,3,3,6,3,3,6,6,0,3,9,0,6,15,12,15,12,6,9,9,15,9,9,6,12,6,6,9,12,18,24,18,21,21,30,18,27,27,39,33,33,39,45,48,60,57,63,63,69,57,72,66,75,81,102,99,102,108,111,114,117,138,138,174,132,147,171,147,171,174,195,237,267,261,291,354,321,381,438,453,483,525,531,510,474,468,510,471,504,468,393,348,246,213,174,156,96,81,144
2006,174,12,6,6,9,6,3,6,0,9,3,6,6,6,3,15,24,27,33,39,33,24,27,24,18,24,30,21,24,21,24,27,33,30,30,30,36,39,39,33,42,48,51,48,60,63,69,72,78,90,84,102,96,99,102,132,141,144,156,153,171,150,192,195,219,231,249,228,249,240,243,300,312,363,330,357,411,441,444,468,480,471,450,447,453,447,402,357,309,306,267,234,189,162,102,75,60,36,30,27,36,126,9,6,9,3,3,0,3,3,3,3,3,6,0,3,9,12,15,15,12,15,6,9,9,9,12,15,6,12,6,15,9,18,12,15,21,21,24,33,21,33,27,42,42,51,51,51,57,69,57,66,69,81,72,84,81,90,99,129,114,126,96,147,105,138,150,129,180,171,192,186,177,225,261,288,282,306,327,375,420,399,453,465,492,525,585,570,486,519,504,528,453,429,399,333,261,219,174,111,81,165
