ResourceID,Geo,Period,Label1,Label2,Label3,Value,Unit,Measure,Multiplier
CPCOV2,,2020-02-28,Active,,,1,Number,COVID-19 cases,0
CPCOV2,,2020-02-28,Deceased,,,0,Number,COVID-19 cases,0
CPCOV2,,2020-02-28,Recovered,,,0,Number,COVID-19 cases,0
CPCOV2,,2020-02-29,Active,,,1,Number,COVID-19 cases,0
CPCOV2,,2020-02-29,Deceased,,,0,Number,COVID-19 cases,0
CPCOV2,,2020-02-29,Recovered,,,0,Number,COVID-19 cases,0
CPCOV2,,2020-03-01,Active,,,1,Number,COVID-19 cases,0
CPCOV2,,2020-03-01,Deceased,,,0,Number,COVID-19 cases,0
CPCOV2,,2020-03-01,Recovered,,,0,Number,COVID-19 cases,0
CPCOV2,,2020-03-02,Active,,,1,Number,COVID-19 cases,0
CPCOV2,,2020-03-02,Deceased,,,0,Number,COVID-19 cases,0
CPCOV2,,2020-03-02,Recovered,,,0,Number,COVID-19 cases,0
CPCOV2,,2020-03-03,Active,,,1,Number,COVID-19 cases,0
CPCOV2,,2020-03-03,Deceased,,,0,Number,COVID-19 cases,0
CPCOV2,,2020-03-03,Recovered,,,0,Number,COVID-19 cases,0
CPCOV2,,2020-03-04,Active,,,3,Number,COVID-19 cases,0
CPCOV2,,2020-03-04,Deceased,,,0,Number,COVID-19 cases,0
CPCOV2,,2020-03-04,Recovered,,,0,Number,COVID-19 cases,0
CPCOV2,,2020-03-05,Active,,,3,Number,COVID-19 cases,0
CPCOV2,,2020-03-05,Deceased,,,0,Number,COVID-19 cases,0
CPCOV2,,2020-03-05,Recovered,,,0,Number,COVID-19 cases,0
CPCOV2,,2020-03-06,Active,,,4,Number,COVID-19 cases,0
CPCOV2,,2020-03-06,Deceased,,,0,Number,COVID-19 cases,0
CPCOV2,,2020-03-06,Recovered,,,0,Number,COVID-19 cases,0
CPCOV2,,2020-03-07,Active,,,5,Number,COVID-19 cases,0
CPCOV2,,2020-03-07,Deceased,,,0,Number,COVID-19 cases,0
CPCOV2,,2020-03-07,Recovered,,,0,Number,COVID-19 cases,0
CPCOV2,,2020-03-08,Active,,,5,Number,COVID-19 cases,0
CPCOV2,,2020-03-08,Deceased,,,0,Number,COVID-19 cases,0
