ResourceID,Geo,Period,Label1,Label2,Label3,Value,Unit,Measure,Multiplier
CPCOV9,,2021-02-14,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-14,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-14,First dose administered,,,1,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-14,Second dose administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-14,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-15,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-15,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-15,First dose administered,,,1,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-15,Second dose administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-15,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-17,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-17,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-17,First dose administered,,,1,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-17,Second dose administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-17,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-19,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-19,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-19,First dose administered,,,29,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-19,Second dose administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-19,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-20,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-20,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-20,First dose administered,,,65,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-20,Second dose administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-20,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-21,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-21,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-21,First dose administered,,,69,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-21,Second dose administered,,,1,Number,Number of daily vaccines administered,0
